"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        Lacking complete plumbing facilities","2,787","±771","0.5%","±0.1","14,885","±2,068","0.5%","±0.1","781","±476","1.0%","±0.6","2,318","±796","0.2%","±0.1","1,864","±705","0.3%","±0.1","2,950","±889","0.3%","±0.1","474","±268","0.3%","±0.2","232","±182","0.2%","±0.2","351","±316","0.5%","±0.4"
"        Lacking complete kitchen facilities","6,125","±1,086","1.1%","±0.2","51,675","±3,616","1.6%","±0.1","949","±505","1.2%","±0.6","11,405","±1,582","1.1%","±0.2","5,361","±1,011","0.8%","±0.1","7,633","±1,345","0.7%","±0.1","1,675","±528","1.2%","±0.4","531","±380","0.6%","±0.4","872","±482","1.2%","±0.7"
"        No telephone service available","10,605","±1,218","1.9%","±0.2","68,320","±3,397","2.1%","±0.1","920","±376","1.2%","±0.5","16,715","±1,806","1.6%","±0.2","16,372","±1,748","2.3%","±0.2","32,086","±3,428","2.9%","±0.3","4,850","±1,057","3.4%","±0.7","1,340","±533","1.4%","±0.6","2,269","±678","3.1%","±0.9"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        1.00 or less","526,166","±3,823","93.4%","±0.5","2,879,980","±11,242","88.1%","±0.2","70,798","±1,698","89.3%","±1.6","931,557","±5,865","91.4%","±0.4","650,538","±6,766","92.9%","±0.5","1,033,079","±6,135","93.8%","±0.3","128,580","±2,637","90.0%","±1.0","88,350","±2,401","91.9%","±1.5","67,689","±1,275","93.7%","±1.3"
"        1.01 to 1.50","27,780","±2,438","4.9%","±0.4","234,329","±6,330","7.2%","±0.2","6,480","±1,177","8.2%","±1.5","59,380","±3,493","5.8%","±0.3","36,621","±3,553","5.2%","±0.5","47,768","±2,985","4.3%","±0.3","8,542","±1,158","6.0%","±0.8","4,616","±1,088","4.8%","±1.1","3,313","±928","4.6%","±1.3"
"        1.51 or more","9,655","±1,408","1.7%","±0.2","154,803","±5,663","4.7%","±0.2","1,977","±625","2.5%","±0.8","27,925","±2,622","2.7%","±0.3","13,425","±1,776","1.9%","±0.3","20,011","±2,194","1.8%","±0.2","5,790","±1,205","4.1%","±0.8","3,161","±975","3.3%","±1.0","1,226","±578","1.7%","±0.8"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","292,164","±4,935","292,164","(X)","1,486,800","±12,895","1,486,800","(X)","39,437","±2,256","39,437","(X)","584,974","±7,380","584,974","(X)","447,219","±7,125","447,219","(X)","574,323","±8,467","574,323","(X)","74,653","±2,805","74,653","(X)","54,393","±2,317","54,393","(X)","36,936","±1,832","36,936","(X)"
"        Less than $50,000","8,773","±1,223","3.0%","±0.4","59,394","±3,146","4.0%","±0.2","2,362","±603","6.0%","±1.6","21,782","±1,933","3.7%","±0.3","38,200","±2,028","8.5%","±0.4","27,755","±2,349","4.8%","±0.4","3,641","±851","4.9%","±1.1","1,718","±542","3.2%","±1.0","3,065","±809","8.3%","±2.1"
"        $50,000 to $99,999","4,510","±778","1.5%","±0.3","25,124","±2,108","1.7%","±0.1","3,573","±706","9.1%","±1.8","11,861","±1,355","2.0%","±0.2","19,036","±1,936","4.3%","±0.4","12,404","±1,828","2.2%","±0.3","2,025","±730","2.7%","±1.0","1,122","±484","2.1%","±0.9","595","±304","1.6%","±0.8"
"        $100,000 to $149,999","4,027","±783","1.4%","±0.3","25,374","±2,030","1.7%","±0.1","7,589","±1,310","19.2%","±3.2","5,444","±1,163","0.9%","±0.2","29,906","±2,541","6.7%","±0.6","9,874","±1,330","1.7%","±0.2","1,179","±351","1.6%","±0.5","605","±353","1.1%","±0.6","1,193","±487","3.2%","±1.3"
"        $150,000 to $199,999","4,857","±874","1.7%","±0.3","43,633","±3,312","2.9%","±0.2","9,652","±1,547","24.5%","±3.5","9,075","±1,269","1.6%","±0.2","46,198","±2,953","10.3%","±0.6","12,097","±1,539","2.1%","±0.3","3,002","±757","4.0%","±1.0","1,476","±576","2.7%","±1.1","2,583","±726","7.0%","±1.9"
"        $200,000 to $299,999","15,562","±1,614","5.3%","±0.5","156,937","±4,911","10.6%","±0.3","8,070","±1,325","20.5%","±3.1","29,325","±2,841","5.0%","±0.5","114,223","±4,787","25.5%","±1.0","56,076","±3,807","9.8%","±0.7","12,771","±1,370","17.1%","±1.8","2,685","±767","4.9%","±1.4","7,488","±1,264","20.3%","±3.0"
"        $300,000 to $499,999","75,257","±3,912","25.8%","±1.2","520,413","±9,052","35.0%","±0.5","6,332","±1,228","16.1%","±2.9","144,373","±4,914","24.7%","±0.8","143,422","±5,053","32.1%","±1.0","214,069","±5,848","37.3%","±0.9","15,952","±1,740","21.4%","±1.9","11,959","±1,539","22.0%","±2.6","12,943","±1,271","35.0%","±3.4"
"        $500,000 to $999,999","143,888","±4,266","49.2%","±1.1","481,705","±9,384","32.4%","±0.6","1,357","±462","3.4%","±1.1","289,419","±6,717","49.5%","±1.0","48,967","±2,890","10.9%","±0.6","196,015","±5,949","34.1%","±0.9","21,733","±1,735","29.1%","±2.4","28,666","±2,169","52.7%","±3.2","7,878","±988","21.3%","±2.4"
"        $1,000,000 or more","35,290","±2,105","12.1%","±0.7","174,220","±5,315","11.7%","±0.3","502","±338","1.3%","±0.9","73,695","±3,952","12.6%","±0.7","7,267","±1,044","1.6%","±0.2","46,033","±3,313","8.0%","±0.6","14,350","±1,401","19.2%","±1.7","6,162","±936","11.3%","±1.8","1,191","±373","3.2%","±1.0"
"        Median (dollars)","587,600","±7,606","(X)","(X)","464,400","±3,012","(X)","(X)","173,000","±7,060","(X)","(X)","591,800","±5,613","(X)","(X)","279,500","±3,361","(X)","(X)","457,300","±4,402","(X)","(X)","476,400","±30,325","(X)","(X)","615,200","±19,803","(X)","(X)","349,000","±13,905","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","292,164","±4,935","292,164","(X)","1,486,800","±12,895","1,486,800","(X)","39,437","±2,256","39,437","(X)","584,974","±7,380","584,974","(X)","447,219","±7,125","447,219","(X)","574,323","±8,467","574,323","(X)","74,653","±2,805","74,653","(X)","54,393","±2,317","54,393","(X)","36,936","±1,832","36,936","(X)"
"        Housing units with a mortgage","216,117","±4,715","74.0%","±1.0","1,090,060","±10,976","73.3%","±0.4","27,844","±2,271","70.6%","±3.6","425,079","±7,759","72.7%","±0.8","319,712","±6,856","71.5%","±0.9","422,092","±8,614","73.5%","±0.8","51,844","±2,617","69.4%","±2.1","36,985","±2,080","68.0%","±2.6","25,588","±1,704","69.3%","±2.8"
"        Housing units without a mortgage","76,047","±3,249","26.0%","±1.0","396,740","±7,388","26.7%","±0.4","11,593","±1,472","29.4%","±3.6","159,895","±4,509","27.3%","±0.8","127,507","±4,279","28.5%","±0.9","152,231","±4,241","26.5%","±0.8","22,809","±1,748","30.6%","±2.1","17,408","±1,648","32.0%","±2.6","11,348","±1,131","30.7%","±2.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","216,117","±4,715","216,117","(X)","1,090,060","±10,976","1,090,060","(X)","27,844","±2,271","27,844","(X)","425,079","±7,759","425,079","(X)","319,712","±6,856","319,712","(X)","422,092","±8,614","422,092","(X)","51,844","±2,617","51,844","(X)","36,985","±2,080","36,985","(X)","25,588","±1,704","25,588","(X)"
"        Less than $300","814","±352","0.4%","±0.2","2,176","±678","0.2%","±0.1","36","±61","0.1%","±0.2","1,100","±450","0.3%","±0.1","1,067","±425","0.3%","±0.1","1,186","±406","0.3%","±0.1","0","±200","0.0%","±0.3","0","±200","0.0%","±0.4","370","±240","1.4%","±0.9"
"        $300 to $499","968","±356","0.4%","±0.2","7,769","±900","0.7%","±0.1","331","±242","1.2%","±0.9","4,597","±848","1.1%","±0.2","2,716","±629","0.8%","±0.2","3,572","±825","0.8%","±0.2","545","±322","1.1%","±0.6","93","±98","0.3%","±0.3","122","±145","0.5%","±0.6"
"        $500 to $699","2,491","±576","1.2%","±0.3","17,669","±1,564","1.6%","±0.1","1,760","±731","6.3%","±2.6","6,096","±991","1.4%","±0.2","9,550","±1,339","3.0%","±0.4","4,862","±981","1.2%","±0.2","638","±248","1.2%","±0.5","646","±296","1.7%","±0.8","542","±292","2.1%","±1.1"
"        $700 to $999","5,445","±1,077","2.5%","±0.5","46,207","±3,173","4.2%","±0.3","5,337","±1,035","19.2%","±3.6","13,127","±1,555","3.1%","±0.4","27,087","±2,038","8.5%","±0.6","15,871","±1,631","3.8%","±0.4","2,751","±724","5.3%","±1.4","1,055","±403","2.9%","±1.1","1,181","±469","4.6%","±1.8"
"        $1,000 to $1,499","21,993","±1,922","10.2%","±0.9","161,139","±5,450","14.8%","±0.5","10,278","±1,569","36.9%","±4.6","40,670","±2,346","9.6%","±0.5","78,452","±4,096","24.5%","±1.1","58,235","±3,702","13.8%","±0.8","8,276","±1,233","16.0%","±2.2","4,389","±945","11.9%","±2.5","6,091","±1,132","23.8%","±3.8"
"        $1,500 to $1,999","35,124","±2,616","16.3%","±1.2","231,215","±6,423","21.2%","±0.5","5,282","±1,133","19.0%","±3.7","74,135","±3,573","17.4%","±0.8","83,288","±4,158","26.1%","±1.2","82,779","±4,139","19.6%","±0.9","12,252","±1,623","23.6%","±2.8","5,575","±1,120","15.1%","±2.9","5,477","±1,102","21.4%","±3.9"
"        $2,000 or more","149,282","±4,999","69.1%","±1.5","623,885","±9,566","57.2%","±0.7","4,820","±1,162","17.3%","±3.8","285,354","±7,141","67.1%","±0.9","117,552","±5,072","36.8%","±1.4","255,587","±6,853","60.6%","±1.1","27,382","±2,090","52.8%","±3.3","25,227","±2,106","68.2%","±4.0","11,805","±1,156","46.1%","±4.3"
"        Median (dollars)","2,464","±40","(X)","(X)","2,194","±16","(X)","(X)","1,275","±65","(X)","(X)","2,455","±28","(X)","(X)","1,733","±23","(X)","(X)","2,263","±26","(X)","(X)","2,084","±96","(X)","(X)","2,548","±105","(X)","(X)","1,913","±92","(X)","(X)"
"    Housing units without a mortgage","76,047","±3,249","76,047","(X)","396,740","±7,388","396,740","(X)","11,593","±1,472","11,593","(X)","159,895","±4,509","159,895","(X)","127,507","±4,279","127,507","(X)","152,231","±4,241","152,231","(X)","22,809","±1,748","22,809","(X)","17,408","±1,648","17,408","(X)","11,348","±1,131","11,348","(X)"
"        Less than $100","1,198","±462","1.6%","±0.6","6,202","±950","1.6%","±0.2","162","±168","1.4%","±1.4","2,324","±594","1.5%","±0.4","2,768","±658","2.2%","±0.5","4,933","±981","3.2%","±0.6","196","±172","0.9%","±0.8","56","±62","0.3%","±0.4","543","±395","4.8%","±3.4"
"        $100 to $199","2,463","±646","3.2%","±0.9","21,832","±1,703","5.5%","±0.4","1,370","±559","11.8%","±4.3","7,665","±1,129","4.8%","±0.7","8,911","±1,163","7.0%","±0.9","7,430","±1,079","4.9%","±0.7","955","±302","4.2%","±1.3","799","±379","4.6%","±2.2","848","±402","7.5%","±3.3"
"        $200 to $299","7,777","±1,058","10.2%","±1.4","45,204","±2,296","11.4%","±0.6","2,137","±527","18.4%","±4.3","17,709","±1,612","11.1%","±1.0","15,368","±1,500","12.1%","±1.2","19,096","±1,969","12.5%","±1.3","2,587","±674","11.3%","±2.8","1,307","±517","7.5%","±2.9","1,217","±407","10.7%","±3.6"
"        $300 to $399","11,245","±1,440","14.8%","±1.8","57,303","±3,357","14.4%","±0.8","2,874","±770","24.8%","±5.4","19,689","±1,540","12.3%","±1.0","19,401","±2,008","15.2%","±1.4","21,282","±2,252","14.0%","±1.4","3,596","±699","15.8%","±2.9","1,827","±622","10.5%","±3.6","1,346","±393","11.9%","±3.4"
"        $400 or more","53,364","±2,974","70.2%","±1.9","266,199","±6,109","67.1%","±1.0","5,050","±826","43.6%","±6.0","112,508","±4,515","70.4%","±1.5","81,059","±3,733","63.6%","±1.8","99,490","±3,957","65.4%","±1.8","15,475","±1,448","67.8%","±3.7","13,419","±1,651","77.1%","±4.7","7,394","±967","65.2%","±5.6"
"        Median (dollars)","549","±14","(X)","(X)","519","±8","(X)","(X)","374","±23","(X)","(X)","559","±13","(X)","(X)","492","±14","(X)","(X)","522","±13","(X)","(X)","546","±40","(X)","(X)","574","±43","(X)","(X)","520","±35","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","215,587","±4,730","215,587","(X)","1,084,023","±10,945","1,084,023","(X)","27,720","±2,278","27,720","(X)","423,441","±7,826","423,441","(X)","317,443","±6,753","317,443","(X)","415,256","±8,330","415,256","(X)","51,562","±2,636","51,562","(X)","36,817","±2,054","36,817","(X)","25,519","±1,731","25,519","(X)"
"        Less than 20.0 percent","74,519","±3,774","34.6%","±1.6","304,968","±6,431","28.1%","±0.5","9,759","±1,292","35.2%","±4.2","131,996","±4,157","31.2%","±0.8","93,898","±4,304","29.6%","±1.3","118,891","±4,626","28.6%","±1.0","16,280","±1,765","31.6%","±3.0","11,254","±1,410","30.6%","±3.6","10,772","±1,436","42.2%","±4.3"
"        20.0 to 24.9 percent","35,970","±2,662","16.7%","±1.2","155,987","±4,987","14.4%","±0.5","3,722","±947","13.4%","±3.3","65,850","±3,642","15.6%","±0.8","48,787","±3,458","15.4%","±1.0","70,485","±3,848","17.0%","±0.9","8,188","±1,136","15.9%","±2.2","4,801","±872","13.0%","±2.3","4,214","±860","16.5%","±3.2"
"        25.0 to 29.9 percent","28,176","±2,255","13.1%","±1.1","131,648","±5,435","12.1%","±0.5","3,015","±921","10.9%","±3.2","52,497","±3,675","12.4%","±0.8","41,254","±2,736","13.0%","±0.9","52,373","±3,363","12.6%","±0.8","6,763","±1,402","13.1%","±2.7","4,629","±915","12.6%","±2.3","3,039","±726","11.9%","±2.8"
"        30.0 to 34.9 percent","18,312","±2,011","8.5%","±0.9","98,038","±3,927","9.0%","±0.3","3,258","±910","11.8%","±3.1","38,140","±2,912","9.0%","±0.7","30,251","±2,505","9.5%","±0.8","42,809","±3,160","10.3%","±0.7","3,360","±789","6.5%","±1.5","3,694","±879","10.0%","±2.3","1,424","±469","5.6%","±1.8"
"        35.0 percent or more","58,610","±3,026","27.2%","±1.2","393,382","±8,634","36.3%","±0.7","7,966","±1,319","28.7%","±3.8","134,958","±5,326","31.9%","±1.0","103,253","±5,498","32.5%","±1.4","130,698","±5,171","31.5%","±1.0","16,971","±2,020","32.9%","±3.3","12,439","±1,617","33.8%","±3.7","6,070","±925","23.8%","±3.5"
"    Not computed","530","±355","(X)","(X)","6,037","±1,250","(X)","(X)","124","±146","(X)","(X)","1,638","±577","(X)","(X)","2,269","±889","(X)","(X)","6,836","±1,759","(X)","(X)","282","±368","(X)","(X)","168","±168","(X)","(X)","69","±115","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","75,278","±3,241","75,278","(X)","391,851","±7,411","391,851","(X)","11,526","±1,492","11,526","(X)","157,512","±4,456","157,512","(X)","125,343","±4,198","125,343","(X)","150,208","±4,317","150,208","(X)","22,564","±1,742","22,564","(X)","17,046","±1,627","17,046","(X)","11,226","±1,140","11,226","(X)"
"        Less than 10.0 percent","37,995","±2,508","50.5%","±2.4","178,815","±5,039","45.6%","±1.0","5,894","±1,157","51.1%","±6.8","76,034","±3,212","48.3%","±1.9","47,011","±2,600","37.5%","±1.6","69,982","±3,096","46.6%","±1.8","9,406","±1,231","41.7%","±4.2","7,087","±1,084","41.6%","±5.0","5,340","±851","47.6%","±5.9"
"        10.0 to 14.9 percent","14,096","±1,706","18.7%","±2.1","67,036","±3,763","17.1%","±0.9","1,546","±474","13.4%","±3.9","24,896","±2,291","15.8%","±1.3","25,581","±2,252","20.4%","±1.6","26,615","±2,369","17.7%","±1.4","4,387","±884","19.4%","±3.9","3,049","±647","17.9%","±4.1","2,053","±512","18.3%","±4.4"
"        15.0 to 19.9 percent","7,127","±1,007","9.5%","±1.3","39,073","±2,363","10.0%","±0.6","1,255","±488","10.9%","±3.9","14,184","±1,813","9.0%","±1.1","14,393","±1,578","11.5%","±1.2","13,963","±1,561","9.3%","±1.0","2,305","±618","10.2%","±2.7","2,086","±625","12.2%","±3.4","699","±299","6.2%","±2.6"
"        20.0 to 24.9 percent","3,672","±657","4.9%","±0.9","27,491","±2,611","7.0%","±0.7","1,052","±407","9.1%","±3.4","10,317","±1,420","6.5%","±0.9","9,557","±1,362","7.6%","±1.0","8,267","±1,274","5.5%","±0.9","1,263","±426","5.6%","±1.8","996","±451","5.8%","±2.5","302","±207","2.7%","±1.8"
"        25.0 to 29.9 percent","2,426","±620","3.2%","±0.8","16,825","±1,755","4.3%","±0.4","180","±142","1.6%","±1.3","6,183","±995","3.9%","±0.6","6,892","±1,222","5.5%","±0.9","5,920","±1,219","3.9%","±0.8","893","±496","4.0%","±2.2","788","±415","4.6%","±2.3","536","±343","4.8%","±3.0"
"        30.0 to 34.9 percent","1,947","±668","2.6%","±0.9","11,844","±1,392","3.0%","±0.3","292","±245","2.5%","±2.1","4,437","±796","2.8%","±0.5","3,352","±764","2.7%","±0.6","6,104","±1,214","4.1%","±0.8","936","±497","4.1%","±2.2","456","±272","2.7%","±1.6","444","±451","4.0%","±4.0"
"        35.0 percent or more","8,015","±1,177","10.6%","±1.5","50,767","±3,416","13.0%","±0.9","1,307","±467","11.3%","±3.8","21,461","±2,278","13.6%","±1.3","18,557","±1,832","14.8%","±1.5","19,357","±1,920","12.9%","±1.2","3,374","±895","15.0%","±3.7","2,584","±782","15.2%","±4.1","1,852","±571","16.5%","±4.8"
"    Not computed","769","±317","(X)","(X)","4,889","±934","(X)","(X)","67","±114","(X)","(X)","2,383","±599","(X)","(X)","2,164","±595","(X)","(X)","2,023","±574","(X)","(X)","245","±160","(X)","(X)","362","±321","(X)","(X)","122","±140","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","264,445","±5,204","264,445","(X)","1,736,501","±14,053","1,736,501","(X)","37,301","±2,222","37,301","(X)","421,454","±6,950","421,454","(X)","243,746","±6,849","243,746","(X)","511,168","±8,762","511,168","(X)","66,004","±2,878","66,004","(X)","40,438","±2,343","40,438","(X)","34,246","±1,862","34,246","(X)"
"        Less than $200","2,473","±718","0.9%","±0.3","9,887","±1,649","0.6%","±0.1","111","±111","0.3%","±0.3","1,508","±651","0.4%","±0.2","1,262","±705","0.5%","±0.3","1,702","±711","0.3%","±0.1","447","±314","0.7%","±0.5","223","±170","0.6%","±0.4","282","±206","0.8%","±0.6"
"        $200 to $299","5,675","±934","2.1%","±0.3","30,220","±2,610","1.7%","±0.1","908","±408","2.4%","±1.1","6,089","±1,403","1.4%","±0.3","4,126","±1,005","1.7%","±0.4","6,445","±1,159","1.3%","±0.2","1,294","±559","2.0%","±0.8","611","±363","1.5%","±0.9","787","±395","2.3%","±1.1"
"        $300 to $499","7,691","±1,299","2.9%","±0.5","44,897","±2,925","2.6%","±0.2","3,083","±1,012","8.3%","±2.6","5,978","±1,256","1.4%","±0.3","7,027","±1,149","2.9%","±0.5","10,404","±1,945","2.0%","±0.4","1,879","±768","2.8%","±1.2","1,076","±540","2.7%","±1.3","1,404","±653","4.1%","±1.9"
"        $500 to $749","14,605","±1,656","5.5%","±0.6","125,888","±5,469","7.2%","±0.3","10,215","±1,436","27.4%","±3.5","7,773","±1,181","1.8%","±0.3","25,010","±2,384","10.3%","±0.9","25,143","±2,837","4.9%","±0.5","3,552","±1,047","5.4%","±1.6","3,188","±1,168","7.9%","±2.9","3,873","±1,216","11.3%","±3.5"
"        $750 to $999","29,840","±2,665","11.3%","±1.0","320,497","±7,699","18.5%","±0.4","10,158","±1,513","27.2%","±4.0","28,326","±2,700","6.7%","±0.6","44,580","±3,182","18.3%","±1.3","73,877","±4,368","14.5%","±0.8","9,300","±1,520","14.1%","±2.2","3,866","±1,267","9.6%","±3.1","8,083","±1,540","23.6%","±4.4"
"        $1,000 to $1,499","91,782","±4,588","34.7%","±1.5","639,529","±11,651","36.8%","±0.6","11,159","±1,523","29.9%","±3.5","142,903","±5,957","33.9%","±1.2","90,802","±4,522","37.3%","±1.6","180,978","±6,546","35.4%","±1.1","21,273","±2,027","32.2%","±2.7","11,789","±1,744","29.2%","±4.1","12,321","±1,418","36.0%","±4.1"
"        $1,500 or more","112,379","±4,485","42.5%","±1.6","565,583","±9,254","32.6%","±0.5","1,667","±738","4.5%","±1.9","228,877","±6,552","54.3%","±1.3","70,939","±4,332","29.1%","±1.5","212,619","±7,391","41.6%","±1.3","28,259","±2,628","42.8%","±3.4","19,685","±2,311","48.7%","±4.9","7,496","±1,326","21.9%","±3.4"
"        Median (dollars)","1,391","±21","(X)","(X)","1,239","±7","(X)","(X)","858","±36","(X)","(X)","1,572","±21","(X)","(X)","1,196","±17","(X)","(X)","1,373","±17","(X)","(X)","1,395","±47","(X)","(X)","1,477","±84","(X)","(X)","1,094","±52","(X)","(X)"
"    No rent paid","6,992","±1,294","(X)","(X)","45,811","±2,934","(X)","(X)","2,517","±882","(X)","(X)","12,434","±1,769","(X)","(X)","9,619","±1,725","(X)","(X)","15,367","±1,957","(X)","(X)","2,255","±786","(X)","(X)","1,296","±864","(X)","(X)","1,046","±456","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","259,804","±5,161","259,804","(X)","1,697,104","±13,524","1,697,104","(X)","36,789","±2,221","36,789","(X)","412,480","±6,873","412,480","(X)","239,622","±6,637","239,622","(X)","495,644","±8,165","495,644","(X)","64,528","±2,931","64,528","(X)","39,820","±2,398","39,820","(X)","32,729","±1,845","32,729","(X)"
"        Less than 15.0 percent","27,576","±2,458","10.6%","±0.9","141,374","±6,017","8.3%","±0.4","5,224","±1,309","14.2%","±3.5","32,238","±2,927","7.8%","±0.7","16,358","±2,211","6.8%","±0.9","39,229","±3,631","7.9%","±0.7","5,042","±1,162","7.8%","±1.8","3,773","±1,032","9.5%","±2.6","2,490","±834","7.6%","±2.6"
"        15.0 to 19.9 percent","32,162","±2,839","12.4%","±1.0","161,195","±6,465","9.5%","±0.4","3,512","±1,061","9.5%","±2.8","39,468","±3,204","9.6%","±0.8","24,027","±2,538","10.0%","±1.0","53,562","±4,096","10.8%","±0.8","5,656","±1,043","8.8%","±1.5","2,620","±823","6.6%","±2.0","3,504","±989","10.7%","±3.0"
"        20.0 to 24.9 percent","35,334","±2,767","13.6%","±1.0","189,951","±6,655","11.2%","±0.4","3,453","±1,055","9.4%","±2.8","49,775","±3,731","12.1%","±0.9","30,715","±2,968","12.8%","±1.1","61,123","±3,833","12.3%","±0.7","8,019","±1,388","12.4%","±2.2","3,068","±970","7.7%","±2.4","3,853","±914","11.8%","±2.7"
"        25.0 to 29.9 percent","31,136","±2,845","12.0%","±1.1","185,080","±6,503","10.9%","±0.4","5,204","±1,300","14.1%","±3.4","51,755","±3,802","12.5%","±1.0","25,156","±2,413","10.5%","±1.0","60,795","±3,784","12.3%","±0.8","8,124","±1,362","12.6%","±2.0","4,367","±1,123","11.0%","±2.7","3,021","±803","9.2%","±2.5"
"        30.0 to 34.9 percent","25,266","±2,883","9.7%","±1.1","157,856","±5,974","9.3%","±0.3","4,438","±1,323","12.1%","±3.5","42,313","±3,299","10.3%","±0.8","23,711","±2,255","9.9%","±1.0","49,022","±3,762","9.9%","±0.7","6,210","±1,200","9.6%","±1.9","4,289","±1,035","10.8%","±2.7","3,347","±1,021","10.2%","±2.9"
"        35.0 percent or more","108,330","±4,803","41.7%","±1.8","861,648","±10,807","50.8%","±0.5","14,958","±1,644","40.7%","±4.0","196,931","±6,977","47.7%","±1.4","119,655","±5,322","49.9%","±1.7","231,913","±7,363","46.8%","±1.3","31,477","±2,604","48.8%","±3.0","21,703","±2,444","54.5%","±4.7","16,514","±1,729","50.5%","±4.7"
"    Not computed","11,633","±1,598","(X)","(X)","85,208","±3,782","(X)","(X)","3,029","±991","(X)","(X)","21,408","±2,445","(X)","(X)","13,743","±2,049","(X)","(X)","30,891","±2,946","(X)","(X)","3,731","±1,173","(X)","(X)","1,914","±932","(X)","(X)","2,563","±673","(X)","(X)"
