"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Estimate Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Estimate Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Estimate Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Estimate Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Estimate Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Estimate Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Estimate Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Estimate Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Estimate Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    No fuel used","6,698","±1,347","1.2%","±0.3","188,630","±6,082","5.9%","±0.2","909","±470","1.2%","±0.6","44,117","±3,200","4.5%","±0.3","13,962","±2,289","2.1%","±0.3","36,488","±2,813","3.4%","±0.3","6,935","±1,689","4.9%","±1.2","710","±317","0.8%","±0.3","192","±177","0.3%","±0.3"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    Lacking complete plumbing facilities","3,185","±938","0.6%","±0.2","19,261","±2,640","0.6%","±0.1","433","±349","0.6%","±0.5","4,709","±1,217","0.5%","±0.1","3,775","±1,232","0.6%","±0.2","6,031","±1,578","0.6%","±0.1","434","±342","0.3%","±0.2","1,116","±586","1.2%","±0.6","566","±441","0.8%","±0.6"
"    Lacking complete kitchen facilities","5,738","±1,249","1.1%","±0.2","53,279","±3,766","1.7%","±0.1","391","±279","0.5%","±0.4","12,266","±1,669","1.2%","±0.2","6,492","±1,465","1.0%","±0.2","9,460","±1,652","0.9%","±0.2","1,611","±504","1.1%","±0.4","1,199","±614","1.3%","±0.7","708","±491","1.0%","±0.7"
"    No telephone service available","8,185","±1,467","1.5%","±0.3","74,677","±4,227","2.3%","±0.1","1,790","±790","2.4%","±1.1","16,128","±1,963","1.6%","±0.2","16,350","±2,287","2.4%","±0.3","20,777","±2,594","2.0%","±0.2","4,400","±1,007","3.1%","±0.7","1,837","±758","2.0%","±0.8","1,305","±550","1.9%","±0.8"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    1.00 or less","505,873","±4,664","94.1%","±0.5","2,792,203","±11,996","87.2%","±0.3","67,408","±2,263","91.2%","±1.8","889,873","±5,530","90.2%","±0.4","619,466","±6,393","92.4%","±0.6","994,183","±7,722","93.7%","±0.4","128,893","±2,362","91.5%","±1.0","86,408","±4,324","94.7%","±1.1","65,561","±4,175","95.6%","±1.3"
"    1.01 to 1.50","22,198","±2,270","4.1%","±0.4","234,794","±7,545","7.3%","±0.2","5,259","±1,259","7.1%","±1.7","59,502","±3,875","6.0%","±0.4","37,179","±3,540","5.5%","±0.5","41,090","±3,248","3.9%","±0.3","7,084","±1,392","5.0%","±1.0","2,626","±972","2.9%","±1.0","2,253","±793","3.3%","±1.2"
"    1.51 or more","9,339","±1,898","1.7%","±0.4","175,356","±6,871","5.5%","±0.2","1,218","±527","1.6%","±0.7","36,922","±2,790","3.7%","±0.3","13,430","±1,919","2.0%","±0.3","25,937","±2,596","2.4%","±0.2","4,865","±943","3.5%","±0.7","2,230","±735","2.4%","±0.8","771","±501","1.1%","±0.7"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","286,780","±5,237","286,780","(X)","1,501,448","±14,839","1,501,448","(X)","40,334","±2,510","40,334","(X)","584,314","±7,164","584,314","(X)","458,273","±6,812","458,273","(X)","572,400","±8,785","572,400","(X)","75,146","±2,601","75,146","(X)","54,209","±3,225","54,209","(X)","37,863","±2,183","37,863","(X)"
"    Less than $50,000","4,602","±786","1.6%","±0.3","35,209","±2,833","2.3%","±0.2","2,875","±884","7.1%","±2.1","14,741","±1,568","2.5%","±0.3","29,036","±2,700","6.3%","±0.6","17,550","±1,857","3.1%","±0.3","2,802","±876","3.7%","±1.1","598","±302","1.1%","±0.6","2,067","±680","5.5%","±1.8"
"    $50,000 to $99,999","4,639","±835","1.6%","±0.3","31,728","±2,776","2.1%","±0.2","8,754","±1,161","21.7%","±2.9","12,662","±1,391","2.2%","±0.2","29,992","±2,818","6.5%","±0.6","14,339","±1,677","2.5%","±0.3","2,579","±703","3.4%","±0.9","1,697","±864","3.1%","±1.6","1,586","±704","4.2%","±1.8"
"    $100,000 to $149,999","5,972","±1,029","2.1%","±0.3","42,597","±2,767","2.8%","±0.2","9,144","±1,407","22.7%","±3.4","11,540","±1,729","2.0%","±0.3","56,842","±3,591","12.4%","±0.7","14,583","±1,931","2.5%","±0.3","2,665","±901","3.5%","±1.2","1,937","±672","3.6%","±1.2","2,523","±807","6.7%","±2.0"
"    $150,000 to $199,999","8,614","±1,468","3.0%","±0.5","68,007","±3,822","4.5%","±0.2","6,844","±1,258","17.0%","±2.7","13,497","±1,597","2.3%","±0.3","72,817","±4,222","15.9%","±0.9","26,530","±2,421","4.6%","±0.4","4,341","±1,059","5.8%","±1.4","1,358","±618","2.5%","±1.1","3,251","±909","8.6%","±2.3"
"    $200,000 to $299,999","28,009","±2,317","9.8%","±0.8","217,639","±7,186","14.5%","±0.4","6,186","±1,209","15.3%","±3.0","45,603","±3,144","7.8%","±0.5","126,527","±5,924","27.6%","±1.3","81,481","±5,076","14.2%","±0.8","12,371","±1,673","16.5%","±2.1","5,207","±1,066","9.6%","±1.8","7,869","±1,161","20.8%","±2.7"
"    $300,000 to $499,999","92,737","±4,014","32.3%","±1.3","517,300","±9,545","34.5%","±0.5","3,515","±837","8.7%","±1.9","173,504","±5,448","29.7%","±0.8","101,542","±4,500","22.2%","±1.0","217,289","±5,975","38.0%","±0.8","15,950","±1,828","21.2%","±2.2","12,424","±1,496","22.9%","±2.3","10,987","±1,431","29.0%","±3.4"
"    $500,000 to $999,999","119,096","±4,105","41.5%","±1.3","445,756","±9,607","29.7%","±0.6","2,374","±715","5.9%","±1.7","257,780","±5,507","44.1%","±0.8","35,589","±2,753","7.8%","±0.6","165,332","±5,874","28.9%","±0.9","21,986","±1,620","29.3%","±2.2","25,249","±1,837","46.6%","±2.6","8,567","±1,354","22.6%","±3.5"
"    $1,000,000 or more","23,111","±1,849","8.1%","±0.6","143,212","±4,633","9.5%","±0.3","642","±341","1.6%","±0.8","54,987","±2,534","9.4%","±0.4","5,928","±1,352","1.3%","±0.3","35,296","±2,557","6.2%","±0.5","12,452","±1,389","16.6%","±1.8","5,739","±915","10.6%","±1.6","1,013","±520","2.7%","±1.3"
"    Median (dollars)","497,200","±8,918","(X)","(X)","429,500","±4,088","(X)","(X)","146,100","±10,127","(X)","(X)","528,200","±6,500","(X)","(X)","227,900","±2,802","(X)","(X)","407,000","±5,547","(X)","(X)","446,800","±28,795","(X)","(X)","558,000","±16,351","(X)","(X)","324,800","±19,017","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","286,780","±5,237","286,780","(X)","1,501,448","±14,839","1,501,448","(X)","40,334","±2,510","40,334","(X)","584,314","±7,164","584,314","(X)","458,273","±6,812","458,273","(X)","572,400","±8,785","572,400","(X)","75,146","±2,601","75,146","(X)","54,209","±3,225","54,209","(X)","37,863","±2,183","37,863","(X)"
"    Housing units with a mortgage","220,712","±5,421","77.0%","±1.1","1,156,155","±13,900","77.0%","±0.5","29,786","±2,501","73.8%","±3.5","444,114","±7,163","76.0%","±0.7","349,306","±6,591","76.2%","±0.9","438,814","±7,546","76.7%","±0.8","51,962","±2,501","69.1%","±2.1","39,258","±3,199","72.4%","±2.8","27,412","±2,175","72.4%","±3.2"
"    Housing units without a mortgage","66,068","±3,121","23.0%","±1.1","345,293","±8,511","23.0%","±0.5","10,548","±1,444","26.2%","±3.5","140,200","±4,249","24.0%","±0.7","108,967","±4,454","23.8%","±0.9","133,586","±5,311","23.3%","±0.8","23,184","±1,667","30.9%","±2.1","14,951","±1,508","27.6%","±2.8","10,451","±1,252","27.6%","±3.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","220,712","±5,421","220,712","(X)","1,156,155","±13,900","1,156,155","(X)","29,786","±2,501","29,786","(X)","444,114","±7,163","444,114","(X)","349,306","±6,591","349,306","(X)","438,814","±7,546","438,814","(X)","51,962","±2,501","51,962","(X)","39,258","±3,199","39,258","(X)","27,412","±2,175","27,412","(X)"
"    Less than $300","350","±277","0.2%","±0.1","818","±399","0.1%","±0.1","185","±243","0.6%","±0.8","159","±148","0.0%","±0.1","339","±234","0.1%","±0.1","482","±440","0.1%","±0.1","118","±138","0.2%","±0.3","0","±294","0.0%","±0.5","47","±79","0.2%","±0.3"
"    $300 to $499","827","±398","0.4%","±0.2","6,515","±1,114","0.6%","±0.1","456","±327","1.5%","±1.1","2,349","±780","0.5%","±0.2","3,335","±862","1.0%","±0.2","2,790","±763","0.6%","±0.2","203","±137","0.4%","±0.3","389","±241","1.0%","±0.6","693","±305","2.5%","±1.1"
"    $500 to $699","1,716","±493","0.8%","±0.2","14,538","±1,556","1.3%","±0.1","1,628","±660","5.5%","±2.2","5,543","±1,193","1.2%","±0.3","7,046","±1,329","2.0%","±0.4","6,330","±1,082","1.4%","±0.2","1,365","±601","2.6%","±1.2","465","±284","1.2%","±0.7","359","±255","1.3%","±0.9"
"    $700 to $999","5,427","±1,122","2.5%","±0.5","43,111","±3,082","3.7%","±0.3","4,968","±1,139","16.7%","±3.7","12,770","±1,347","2.9%","±0.3","25,375","±2,601","7.3%","±0.7","15,728","±1,674","3.6%","±0.4","2,793","±801","5.4%","±1.5","1,368","±531","3.5%","±1.3","1,671","±537","6.1%","±1.9"
"    $1,000 to $1,499","20,036","±1,739","9.1%","±0.7","157,829","±6,006","13.7%","±0.5","8,226","±1,630","27.6%","±5.1","45,419","±3,279","10.2%","±0.7","69,877","±3,814","20.0%","±1.0","55,002","±3,195","12.5%","±0.7","7,019","±1,262","13.5%","±2.3","3,936","±1,058","10.0%","±2.4","3,902","±1,060","14.2%","±3.6"
"    $1,500 to $1,999","31,072","±2,810","14.1%","±1.2","207,585","±5,580","18.0%","±0.5","6,577","±1,073","22.1%","±3.2","67,527","±3,605","15.2%","±0.8","76,938","±4,008","22.0%","±1.0","78,202","±4,240","17.8%","±0.9","11,308","±1,563","21.8%","±2.5","5,724","±1,370","14.6%","±3.0","5,764","±1,116","21.0%","±3.6"
"    $2,000 or more","161,284","±4,667","73.1%","±1.3","725,759","±12,721","62.8%","±0.7","7,746","±1,422","26.0%","±4.0","310,347","±6,933","69.9%","±1.0","166,396","±4,931","47.6%","±1.1","280,280","±6,849","63.9%","±1.2","29,156","±1,848","56.1%","±3.2","27,376","±2,209","69.7%","±3.5","14,976","±1,519","54.6%","±4.1"
"    Median (dollars)","2,624","±46","(X)","(X)","2,357","±20","(X)","(X)","1,464","±91","(X)","(X)","2,597","±33","(X)","(X)","1,948","±25","(X)","(X)","2,364","±31","(X)","(X)","2,201","±96","(X)","(X)","2,630","±127","(X)","(X)","2,114","±97","(X)","(X)"
"    Housing units without a mortgage","66,068","±3,121","66,068","(X)","345,293","±8,511","345,293","(X)","10,548","±1,444","10,548","(X)","140,200","±4,249","140,200","(X)","108,967","±4,454","108,967","(X)","133,586","±5,311","133,586","(X)","23,184","±1,667","23,184","(X)","14,951","±1,508","14,951","(X)","10,451","±1,252","10,451","(X)"
"    Less than $100","685","±293","1.0%","±0.4","5,311","±1,095","1.5%","±0.3","280","±229","2.7%","±2.2","2,174","±841","1.6%","±0.6","3,023","±900","2.8%","±0.8","3,478","±870","2.6%","±0.6","452","±251","1.9%","±1.1","171","±191","1.1%","±1.3","368","±389","3.5%","±3.6"
"    $100 to $199","2,273","±680","3.4%","±1.0","20,042","±1,937","5.8%","±0.6","1,387","±537","13.1%","±4.9","9,366","±1,466","6.7%","±1.0","8,842","±1,255","8.1%","±1.1","10,828","±1,646","8.1%","±1.2","1,417","±523","6.1%","±2.2","884","±507","5.9%","±3.1","1,028","±440","9.8%","±4.1"
"    $200 to $299","7,918","±1,261","12.0%","±1.9","55,308","±3,409","16.0%","±0.9","2,393","±630","22.7%","±5.5","20,610","±2,037","14.7%","±1.4","15,278","±1,962","14.0%","±1.5","19,643","±1,948","14.7%","±1.4","4,121","±836","17.8%","±3.3","2,204","±793","14.7%","±5.2","1,682","±570","16.1%","±5.3"
"    $300 to $399","12,037","±1,589","18.2%","±2.2","61,223","±2,926","17.7%","±0.8","2,645","±793","25.1%","±5.8","23,072","±2,325","16.5%","±1.5","20,429","±2,283","18.7%","±1.9","23,778","±2,139","17.8%","±1.4","3,894","±767","16.8%","±3.3","2,408","±664","16.1%","±4.0","1,471","±499","14.1%","±4.5"
"    $400 or more","43,155","±2,775","65.3%","±2.6","203,409","±6,401","58.9%","±1.2","3,843","±809","36.4%","±5.8","84,978","±3,860","60.6%","±2.3","61,395","±3,137","56.3%","±2.4","75,859","±4,227","56.8%","±2.1","13,300","±1,442","57.4%","±4.6","9,284","±1,134","62.1%","±5.7","5,902","±1,097","56.5%","±7.4"
"    Median (dollars)","502","±19","(X)","(X)","458","±7","(X)","(X)","333","±17","(X)","(X)","478","±15","(X)","(X)","445","±16","(X)","(X)","450","±14","(X)","(X)","449","±30","(X)","(X)","479","±36","(X)","(X)","440","±32","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","219,131","±5,395","219,131","(X)","1,149,121","±14,143","1,149,121","(X)","29,464","±2,492","29,464","(X)","442,292","±7,103","442,292","(X)","347,316","±6,636","347,316","(X)","432,626","±7,523","432,626","(X)","51,962","±2,501","51,962","(X)","39,137","±3,154","39,137","(X)","27,412","±2,175","27,412","(X)"
"    Less than 20.0 percent","52,223","±3,399","23.8%","±1.4","241,894","±6,216","21.1%","±0.5","8,271","±1,587","28.1%","±4.4","105,483","±4,781","23.8%","±1.0","70,829","±4,588","20.4%","±1.3","95,605","±4,465","22.1%","±0.9","11,620","±1,623","22.4%","±2.8","7,506","±1,472","19.2%","±3.2","7,995","±1,232","29.2%","±4.0"
"    20.0 to 24.9 percent","29,182","±2,430","13.3%","±1.0","138,955","±5,786","12.1%","±0.5","4,779","±1,183","16.2%","±3.7","60,390","±4,263","13.7%","±0.9","46,132","±3,581","13.3%","±1.0","56,108","±3,680","13.0%","±0.8","7,471","±1,393","14.4%","±2.6","4,949","±989","12.6%","±2.5","4,234","±945","15.4%","±3.2"
"    25.0 to 29.9 percent","27,839","±2,364","12.7%","±1.1","132,697","±6,469","11.5%","±0.5","3,421","±875","11.6%","±3.0","49,682","±2,894","11.2%","±0.6","41,637","±3,425","12.0%","±1.0","57,980","±3,265","13.4%","±0.8","7,636","±1,326","14.7%","±2.5","4,713","±865","12.0%","±2.1","3,676","±754","13.4%","±2.6"
"    30.0 to 34.9 percent","26,119","±2,350","11.9%","±1.1","117,301","±5,352","10.2%","±0.4","2,838","±986","9.6%","±3.3","42,928","±2,853","9.7%","±0.6","36,210","±3,413","10.4%","±1.0","43,515","±3,283","10.1%","±0.7","4,838","±1,232","9.3%","±2.4","4,332","±953","11.1%","±2.3","3,171","±908","11.6%","±3.2"
"    35.0 percent or more","83,768","±4,724","38.2%","±1.9","518,274","±10,921","45.1%","±0.7","10,155","±1,689","34.5%","±5.0","183,809","±5,903","41.6%","±1.1","152,508","±6,075","43.9%","±1.5","179,418","±5,865","41.5%","±1.2","20,397","±2,119","39.3%","±3.5","17,637","±2,275","45.1%","±4.2","8,336","±1,347","30.4%","±4.2"
"    Not computed","1,581","±753","(X)","(X)","7,034","±1,302","(X)","(X)","322","±255","(X)","(X)","1,822","±792","(X)","(X)","1,990","±707","(X)","(X)","6,188","±1,566","(X)","(X)","0","±294","(X)","(X)","121","±151","(X)","(X)","0","±294","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","65,498","±3,144","65,498","(X)","340,158","±8,611","340,158","(X)","10,452","±1,451","10,452","(X)","138,854","±4,278","138,854","(X)","107,714","±4,433","107,714","(X)","131,690","±5,284","131,690","(X)","22,989","±1,626","22,989","(X)","14,696","±1,518","14,696","(X)","10,270","±1,246","10,270","(X)"
"    Less than 10.0 percent","33,259","±2,364","50.8%","±2.6","151,751","±5,368","44.6%","±1.0","4,747","±953","45.4%","±7.0","68,025","±3,688","49.0%","±1.9","39,360","±2,869","36.5%","±2.2","62,537","±3,371","47.5%","±2.1","10,924","±1,351","47.5%","±4.6","6,446","±1,102","43.9%","±6.0","5,703","±1,011","55.5%","±7.1"
"    10.0 to 14.9 percent","10,886","±1,367","16.6%","±1.9","63,636","±3,588","18.7%","±0.9","2,081","±599","19.9%","±5.0","23,431","±1,887","16.9%","±1.4","20,279","±1,886","18.8%","±1.7","21,916","±1,893","16.6%","±1.4","3,698","±741","16.1%","±3.0","2,507","±678","17.1%","±4.3","1,611","±536","15.7%","±4.9"
"    15.0 to 19.9 percent","6,977","±1,186","10.7%","±1.7","33,951","±2,603","10.0%","±0.7","813","±384","7.8%","±3.5","11,794","±1,646","8.5%","±1.1","12,751","±1,643","11.8%","±1.5","13,191","±1,812","10.0%","±1.3","2,802","±647","12.2%","±2.7","2,118","±652","14.4%","±4.0","1,001","±424","9.7%","±3.9"
"    20.0 to 24.9 percent","3,920","±781","6.0%","±1.2","22,322","±2,086","6.6%","±0.6","830","±319","7.9%","±3.1","8,216","±1,110","5.9%","±0.8","8,648","±1,365","8.0%","±1.2","6,552","±1,204","5.0%","±0.9","1,316","±522","5.7%","±2.3","1,003","±496","6.8%","±3.4","807","±496","7.9%","±4.8"
"    25.0 to 29.9 percent","2,042","±520","3.1%","±0.8","13,168","±1,418","3.9%","±0.4","957","±600","9.2%","±5.4","5,012","±1,197","3.6%","±0.8","6,420","±1,282","6.0%","±1.2","5,489","±1,121","4.2%","±0.8","950","±395","4.1%","±1.7","491","±263","3.3%","±1.8","255","±222","2.5%","±2.1"
"    30.0 to 34.9 percent","2,599","±674","4.0%","±1.0","11,907","±1,544","3.5%","±0.5","390","±230","3.7%","±2.1","4,480","±879","3.2%","±0.6","5,027","±912","4.7%","±0.8","5,594","±1,189","4.2%","±0.9","651","±332","2.8%","±1.4","270","±258","1.8%","±1.8","107","±133","1.0%","±1.3"
"    35.0 percent or more","5,815","±1,006","8.9%","±1.5","43,423","±2,989","12.8%","±0.8","634","±278","6.1%","±2.6","17,896","±2,115","12.9%","±1.4","15,229","±1,818","14.1%","±1.5","16,411","±2,150","12.5%","±1.5","2,648","±815","11.5%","±3.3","1,861","±680","12.7%","±4.3","786","±378","7.7%","±3.5"
"    Not computed","570","±327","(X)","(X)","5,135","±945","(X)","(X)","96","±105","(X)","(X)","1,346","±554","(X)","(X)","1,253","±450","(X)","(X)","1,896","±806","(X)","(X)","195","±233","(X)","(X)","255","±256","(X)","(X)","181","±199","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","243,400","±5,916","243,400","(X)","1,656,726","±14,460","1,656,726","(X)","31,265","±2,271","31,265","(X)","394,382","±7,088","394,382","(X)","205,302","±6,232","205,302","(X)","477,054","±8,432","477,054","(X)","62,424","±2,885","62,424","(X)","35,077","±3,510","35,077","(X)","29,752","±3,526","29,752","(X)"
"    Less than $200","2,659","±969","1.1%","±0.4","9,161","±1,755","0.6%","±0.1","466","±427","1.5%","±1.4","1,305","±546","0.3%","±0.1","1,304","±588","0.6%","±0.3","1,449","±643","0.3%","±0.1","408","±259","0.7%","±0.4","325","±248","0.9%","±0.7","127","±150","0.4%","±0.5"
"    $200 to $299","8,964","±1,656","3.7%","±0.7","39,674","±3,446","2.4%","±0.2","846","±426","2.7%","±1.4","5,765","±1,239","1.5%","±0.3","3,231","±777","1.6%","±0.4","7,388","±1,104","1.5%","±0.2","1,355","±546","2.2%","±0.9","1,339","±575","3.8%","±1.7","1,294","±738","4.3%","±2.5"
"    $300 to $499","8,817","±1,580","3.6%","±0.6","46,799","±3,665","2.8%","±0.2","2,797","±931","8.9%","±2.9","7,036","±1,346","1.8%","±0.3","8,293","±1,624","4.0%","±0.8","10,965","±1,662","2.3%","±0.3","2,333","±940","3.7%","±1.5","1,868","±1,087","5.3%","±3.1","1,288","±539","4.3%","±1.8"
"    $500 to $749","15,046","±1,745","6.2%","±0.7","162,611","±5,323","9.8%","±0.3","9,552","±1,688","30.6%","±4.8","12,804","±2,046","3.2%","±0.5","21,367","±2,414","10.4%","±1.2","30,607","±2,717","6.4%","±0.6","4,351","±1,068","7.0%","±1.7","2,567","±767","7.3%","±2.2","3,559","±956","12.0%","±3.2"
"    $750 to $999","45,124","±3,531","18.5%","±1.4","363,978","±9,759","22.0%","±0.6","7,690","±1,508","24.6%","±4.6","38,570","±3,075","9.8%","±0.7","48,199","±3,399","23.5%","±1.5","89,995","±4,755","18.9%","±0.9","12,015","±1,826","19.2%","±2.7","5,138","±1,409","14.6%","±3.6","7,222","±1,383","24.3%","±4.4"
"    $1,000 to $1,499","93,096","±4,335","38.2%","±1.6","604,250","±10,414","36.5%","±0.6","8,075","±1,555","25.8%","±4.4","165,080","±5,940","41.9%","±1.5","74,153","±4,474","36.1%","±1.9","176,281","±6,808","37.0%","±1.2","19,346","±1,862","31.0%","±2.6","11,498","±2,027","32.8%","±4.3","9,576","±1,749","32.2%","±4.3"
"    $1,500 or more","69,694","±4,465","28.6%","±1.5","430,253","±9,305","26.0%","±0.5","1,839","±679","5.9%","±2.2","163,822","±6,102","41.5%","±1.3","48,755","±3,672","23.7%","±1.5","160,369","±5,537","33.6%","±1.0","22,616","±2,215","36.2%","±3.1","12,342","±1,982","35.2%","±4.4","6,686","±1,952","22.5%","±5.0"
"    Median (dollars)","1,198","±15","(X)","(X)","1,147","±7","(X)","(X)","807","±52","(X)","(X)","1,402","±13","(X)","(X)","1,121","±22","(X)","(X)","1,249","±14","(X)","(X)","1,267","±53","(X)","(X)","1,284","±69","(X)","(X)","1,056","±62","(X)","(X)"
"    No rent paid","7,230","±1,389","(X)","(X)","44,179","±3,533","(X)","(X)","2,286","±757","(X)","(X)","7,601","±1,274","(X)","(X)","6,500","±1,388","(X)","(X)","11,756","±1,600","(X)","(X)","3,272","±914","(X)","(X)","1,978","±824","(X)","(X)","970","±488","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","239,646","±5,831","239,646","(X)","1,621,255","±14,733","1,621,255","(X)","30,827","±2,266","30,827","(X)","386,500","±7,178","386,500","(X)","202,815","±6,016","202,815","(X)","464,033","±8,655","464,033","(X)","60,740","±2,842","60,740","(X)","34,369","±3,297","34,369","(X)","29,461","±3,433","29,461","(X)"
"    Less than 15.0 percent","24,351","±2,540","10.2%","±1.1","131,867","±5,946","8.1%","±0.4","3,387","±938","11.0%","±3.1","29,143","±2,955","7.5%","±0.8","13,951","±2,099","6.9%","±1.0","32,887","±3,357","7.1%","±0.7","4,872","±1,235","8.0%","±2.1","1,909","±745","5.6%","±2.2","2,072","±764","7.0%","±2.6"
"    15.0 to 19.9 percent","29,377","±2,848","12.3%","±1.1","167,292","±6,629","10.3%","±0.4","2,841","±841","9.2%","±2.7","38,189","±3,273","9.9%","±0.8","19,344","±2,602","9.5%","±1.3","44,812","±3,284","9.7%","±0.7","6,918","±1,402","11.4%","±2.3","3,490","±926","10.2%","±2.5","1,616","±627","5.5%","±2.2"
"    20.0 to 24.9 percent","28,730","±2,518","12.0%","±1.0","176,472","±6,848","10.9%","±0.4","3,717","±1,022","12.1%","±3.3","47,785","±4,247","12.4%","±1.0","21,960","±2,283","10.8%","±1.1","58,356","±3,803","12.6%","±0.8","7,256","±1,416","11.9%","±2.1","4,166","±1,194","12.1%","±3.3","4,441","±1,258","15.1%","±4.2"
"    25.0 to 29.9 percent","28,606","±2,741","11.9%","±1.1","186,444","±6,077","11.5%","±0.4","3,903","±969","12.7%","±2.8","46,160","±3,518","11.9%","±0.9","20,302","±2,292","10.0%","±1.2","55,280","±3,850","11.9%","±0.8","7,278","±1,472","12.0%","±2.3","4,399","±1,223","12.8%","±3.2","3,354","±991","11.4%","±3.5"
"    30.0 to 34.9 percent","22,558","±2,513","9.4%","±1.0","145,074","±6,212","8.9%","±0.4","2,909","±946","9.4%","±3.1","42,577","±3,301","11.0%","±0.8","18,755","±2,367","9.2%","±1.1","44,799","±3,143","9.7%","±0.6","4,535","±1,169","7.5%","±1.9","5,091","±1,358","14.8%","±3.5","3,414","±1,166","11.6%","±3.8"
"    35.0 percent or more","106,024","±4,763","44.2%","±1.7","814,106","±12,807","50.2%","±0.6","14,070","±2,123","45.6%","±5.6","182,646","±5,773","47.3%","±1.3","108,503","±5,592","53.5%","±2.0","227,899","±6,686","49.1%","±1.2","29,881","±2,445","49.2%","±3.2","15,314","±2,206","44.6%","±4.7","14,564","±3,103","49.4%","±6.5"
"    Not computed","10,984","±1,856","(X)","(X)","79,650","±5,041","(X)","(X)","2,724","±812","(X)","(X)","15,483","±1,985","(X)","(X)","8,987","±1,737","(X)","(X)","24,777","±2,842","(X)","(X)","4,956","±1,154","(X)","(X)","2,686","±944","(X)","(X)","1,261","±504","(X)","(X)"
