"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        Lacking complete plumbing facilities","2,463","±806","0.4%","±0.1","12,960","±1,797","0.4%","±0.1","428","±348","0.6%","±0.4","1,889","±490","0.2%","±0.1","1,645","±478","0.2%","±0.1","2,924","±1,306","0.3%","±0.1","405","±283","0.3%","±0.2","515","±413","0.5%","±0.4","321","±316","0.5%","±0.4"
"        Lacking complete kitchen facilities","4,726","±1,014","0.9%","±0.2","47,665","±3,471","1.5%","±0.1","319","±252","0.4%","±0.3","10,793","±1,492","1.1%","±0.1","5,403","±1,053","0.8%","±0.2","9,050","±1,505","0.8%","±0.1","1,902","±758","1.4%","±0.5","1,125","±720","1.2%","±0.8","709","±527","1.0%","±0.7"
"        No telephone service available","8,726","±1,408","1.6%","±0.3","64,884","±4,018","2.0%","±0.1","783","±373","1.0%","±0.5","16,982","±2,262","1.7%","±0.2","12,510","±1,561","1.8%","±0.2","38,808","±3,684","3.5%","±0.3","3,100","±904","2.2%","±0.6","1,780","±637","1.9%","±0.7","2,025","±713","2.9%","±1.0"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        1.00 or less","523,027","±3,950","94.1%","±0.5","2,852,155","±9,735","87.8%","±0.2","69,865","±2,150","90.0%","±1.9","915,630","±6,136","91.2%","±0.4","644,605","±6,548","92.9%","±0.4","1,023,559","±6,373","93.6%","±0.4","127,199","±2,488","90.4%","±1.2","87,892","±2,167","93.5%","±1.5","67,352","±1,874","94.8%","±1.3"
"        1.01 to 1.50","23,526","±2,129","4.2%","±0.4","233,300","±6,785","7.2%","±0.2","5,824","±1,325","7.5%","±1.7","57,925","±3,180","5.8%","±0.3","37,912","±2,629","5.5%","±0.4","45,968","±4,347","4.2%","±0.4","7,790","±1,303","5.5%","±0.9","3,757","±998","4.0%","±1.0","2,635","±792","3.7%","±1.1"
"        1.51 or more","9,356","±1,657","1.7%","±0.3","162,250","±5,691","5.0%","±0.2","1,962","±757","2.5%","±1.0","30,235","±2,593","3.0%","±0.3","11,068","±1,638","1.6%","±0.2","23,859","±2,496","2.2%","±0.2","5,676","±1,253","4.0%","±0.9","2,333","±980","2.5%","±1.0","1,037","±518","1.5%","±0.7"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","288,417","±4,698","288,417","(X)","1,477,894","±14,280","1,477,894","(X)","40,650","±2,025","40,650","(X)","577,242","±6,926","577,242","(X)","442,179","±7,433","442,179","(X)","576,985","±6,112","576,985","(X)","73,083","±2,839","73,083","(X)","56,426","±2,450","56,426","(X)","34,816","±1,715","34,816","(X)"
"        Less than $50,000","9,180","±1,117","3.2%","±0.4","59,819","±3,101","4.0%","±0.2","3,422","±801","8.4%","±2.0","23,609","±1,762","4.1%","±0.3","39,479","±2,694","8.9%","±0.6","28,066","±2,548","4.9%","±0.4","4,523","±1,134","6.2%","±1.5","1,635","±520","2.9%","±0.9","1,816","±791","5.2%","±2.3"
"        $50,000 to $99,999","4,927","±906","1.7%","±0.3","29,771","±2,323","2.0%","±0.2","7,271","±1,314","17.9%","±3.1","12,019","±1,417","2.1%","±0.2","27,335","±2,542","6.2%","±0.6","13,189","±1,809","2.3%","±0.3","2,457","±601","3.4%","±0.8","1,959","±795","3.5%","±1.4","895","±412","2.6%","±1.2"
"        $100,000 to $149,999","5,168","±942","1.8%","±0.3","36,904","±2,644","2.5%","±0.2","10,092","±1,282","24.8%","±3.0","9,817","±1,329","1.7%","±0.2","44,601","±3,114","10.1%","±0.7","12,777","±1,647","2.2%","±0.3","2,316","±611","3.2%","±0.8","746","±347","1.3%","±0.6","2,120","±669","6.1%","±1.9"
"        $150,000 to $199,999","8,327","±1,413","2.9%","±0.5","56,547","±3,098","3.8%","±0.2","8,226","±1,379","20.2%","±3.1","11,523","±2,091","2.0%","±0.4","65,417","±4,387","14.8%","±0.9","22,664","±2,691","3.9%","±0.5","4,190","±793","5.7%","±1.1","1,235","±438","2.2%","±0.8","3,032","±713","8.7%","±2.0"
"        $200,000 to $299,999","27,245","±2,259","9.4%","±0.8","208,111","±6,076","14.1%","±0.4","5,562","±1,231","13.7%","±2.8","35,383","±2,775","6.1%","±0.5","112,905","±5,148","25.5%","±1.0","79,654","±4,246","13.8%","±0.7","12,559","±1,592","17.2%","±2.0","5,107","±1,058","9.1%","±1.8","7,239","±1,205","20.8%","±3.2"
"        $300,000 to $499,999","83,123","±3,688","28.8%","±1.2","518,294","±10,212","35.1%","±0.6","3,986","±781","9.8%","±2.0","168,032","±5,681","29.1%","±0.9","112,212","±4,173","25.4%","±0.9","216,690","±6,288","37.6%","±1.0","13,590","±1,535","18.6%","±1.9","15,466","±1,690","27.4%","±2.7","11,562","±1,425","33.2%","±4.0"
"        $500,000 to $999,999","125,126","±4,188","43.4%","±1.2","426,969","±7,025","28.9%","±0.5","1,719","±724","4.2%","±1.8","257,197","±6,034","44.6%","±1.0","32,927","±2,915","7.4%","±0.7","163,120","±5,625","28.3%","±1.0","22,197","±1,761","30.4%","±2.2","25,193","±2,117","44.6%","±3.1","7,340","±877","21.1%","±2.4"
"        $1,000,000 or more","25,321","±1,833","8.8%","±0.7","141,479","±4,906","9.6%","±0.3","372","±231","0.9%","±0.6","59,662","±4,061","10.3%","±0.7","7,303","±1,245","1.7%","±0.3","40,825","±2,892","7.1%","±0.5","11,251","±1,322","15.4%","±1.7","5,085","±920","9.0%","±1.6","812","±352","2.3%","±1.0"
"        Median (dollars)","518,900","±9,781","(X)","(X)","420,200","±3,238","(X)","(X)","147,200","±9,268","(X)","(X)","539,000","±7,738","(X)","(X)","236,400","±3,871","(X)","(X)","411,000","±5,433","(X)","(X)","437,300","±38,706","(X)","(X)","535,500","±27,825","(X)","(X)","331,200","±13,882","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","288,417","±4,698","288,417","(X)","1,477,894","±14,280","1,477,894","(X)","40,650","±2,025","40,650","(X)","577,242","±6,926","577,242","(X)","442,179","±7,433","442,179","(X)","576,985","±6,112","576,985","(X)","73,083","±2,839","73,083","(X)","56,426","±2,450","56,426","(X)","34,816","±1,715","34,816","(X)"
"        Housing units with a mortgage","217,870","±4,957","75.5%","±1.0","1,097,561","±13,495","74.3%","±0.4","27,417","±1,987","67.4%","±3.2","423,346","±6,902","73.3%","±0.8","325,105","±7,712","73.5%","±1.0","426,725","±7,595","74.0%","±0.9","49,627","±2,754","67.9%","±2.7","39,692","±2,395","70.3%","±2.6","24,845","±1,781","71.4%","±3.5"
"        Housing units without a mortgage","70,547","±3,073","24.5%","±1.0","380,333","±6,735","25.7%","±0.4","13,233","±1,407","32.6%","±3.2","153,896","±4,878","26.7%","±0.8","117,074","±4,306","26.5%","±1.0","150,260","±4,992","26.0%","±0.9","23,456","±2,207","32.1%","±2.7","16,734","±1,522","29.7%","±2.6","9,971","±1,269","28.6%","±3.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","217,870","±4,957","217,870","(X)","1,097,561","±13,495","1,097,561","(X)","27,417","±1,987","27,417","(X)","423,346","±6,902","423,346","(X)","325,105","±7,712","325,105","(X)","426,725","±7,595","426,725","(X)","49,627","±2,754","49,627","(X)","39,692","±2,395","39,692","(X)","24,845","±1,781","24,845","(X)"
"        Less than $300","305","±201","0.1%","±0.1","1,942","±521","0.2%","±0.1","126","±184","0.5%","±0.7","1,612","±457","0.4%","±0.1","328","±211","0.1%","±0.1","565","±272","0.1%","±0.1","367","±232","0.7%","±0.5","0","±203","0.0%","±0.4","0","±203","0.0%","±0.7"
"        $300 to $499","1,010","±417","0.5%","±0.2","8,211","±1,233","0.7%","±0.1","450","±263","1.6%","±1.0","4,139","±798","1.0%","±0.2","4,229","±778","1.3%","±0.2","3,374","±751","0.8%","±0.2","680","±412","1.4%","±0.8","203","±152","0.5%","±0.4","306","±221","1.2%","±0.9"
"        $500 to $699","3,264","±616","1.5%","±0.3","17,688","±1,621","1.6%","±0.1","1,578","±526","5.8%","±1.9","5,984","±1,049","1.4%","±0.2","9,776","±1,355","3.0%","±0.4","6,170","±1,102","1.4%","±0.3","1,240","±607","2.5%","±1.2","660","±316","1.7%","±0.8","419","±386","1.7%","±1.6"
"        $700 to $999","8,181","±1,136","3.8%","±0.5","42,776","±2,776","3.9%","±0.3","4,961","±989","18.1%","±3.3","13,550","±1,538","3.2%","±0.4","30,243","±2,502","9.3%","±0.7","18,639","±2,037","4.4%","±0.5","2,322","±635","4.7%","±1.2","1,362","±595","3.4%","±1.5","1,005","±490","4.0%","±1.9"
"        $1,000 to $1,499","22,344","±2,129","10.3%","±1.0","168,005","±5,536","15.3%","±0.5","11,525","±1,634","42.0%","±4.9","42,540","±2,938","10.0%","±0.7","82,227","±4,957","25.3%","±1.3","60,885","±3,795","14.3%","±0.8","7,933","±1,192","16.0%","±2.4","4,745","±896","12.0%","±2.3","5,164","±1,053","20.8%","±3.8"
"        $1,500 to $1,999","37,122","±2,754","17.0%","±1.2","240,053","±7,916","21.9%","±0.7","4,925","±1,100","18.0%","±3.7","75,361","±4,470","17.8%","±1.0","76,815","±4,360","23.6%","±1.4","86,368","±4,028","20.2%","±0.9","10,079","±1,571","20.3%","±2.8","6,408","±1,182","16.1%","±2.8","7,771","±1,215","31.3%","±4.4"
"        $2,000 or more","145,644","±4,298","66.8%","±1.3","618,886","±10,792","56.4%","±0.7","3,852","±783","14.0%","±2.8","280,160","±6,501","66.2%","±1.1","121,487","±5,505","37.4%","±1.4","250,724","±5,550","58.8%","±1.0","27,006","±2,055","54.4%","±3.3","26,314","±2,379","66.3%","±3.7","10,180","±1,317","41.0%","±4.5"
"        Median (dollars)","2,457","±39","(X)","(X)","2,170","±18","(X)","(X)","1,286","±55","(X)","(X)","2,420","±29","(X)","(X)","1,707","±26","(X)","(X)","2,225","±25","(X)","(X)","2,143","±99","(X)","(X)","2,429","±92","(X)","(X)","1,865","±62","(X)","(X)"
"    Housing units without a mortgage","70,547","±3,073","70,547","(X)","380,333","±6,735","380,333","(X)","13,233","±1,407","13,233","(X)","153,896","±4,878","153,896","(X)","117,074","±4,306","117,074","(X)","150,260","±4,992","150,260","(X)","23,456","±2,207","23,456","(X)","16,734","±1,522","16,734","(X)","9,971","±1,269","9,971","(X)"
"        Less than $100","1,156","±445","1.6%","±0.6","6,943","±1,135","1.8%","±0.3","84","±130","0.6%","±1.0","2,924","±764","1.9%","±0.5","2,917","±803","2.5%","±0.7","5,677","±1,105","3.8%","±0.7","526","±299","2.2%","±1.3","327","±291","2.0%","±1.8","187","±179","1.9%","±1.8"
"        $100 to $199","3,381","±824","4.8%","±1.1","20,795","±1,949","5.5%","±0.5","1,659","±598","12.5%","±4.2","9,592","±1,495","6.2%","±0.9","10,529","±1,705","9.0%","±1.3","9,797","±1,551","6.5%","±1.0","1,037","±495","4.4%","±2.1","572","±307","3.4%","±1.9","592","±366","5.9%","±3.5"
"        $200 to $299","6,572","±971","9.3%","±1.4","47,169","±2,724","12.4%","±0.7","3,417","±948","25.8%","±6.3","16,834","±1,864","10.9%","±1.1","15,161","±1,675","12.9%","±1.3","17,649","±1,721","11.7%","±1.2","3,003","±644","12.8%","±2.5","1,473","±686","8.8%","±3.9","1,205","±503","12.1%","±4.7"
"        $300 to $399","9,716","±1,334","13.8%","±1.8","57,207","±2,748","15.0%","±0.7","3,082","±857","23.3%","±6.0","20,617","±1,688","13.4%","±1.0","18,438","±1,698","15.7%","±1.4","19,860","±2,081","13.2%","±1.2","3,457","±845","14.7%","±3.4","1,901","±742","11.4%","±4.4","1,922","±569","19.3%","±5.1"
"        $400 or more","49,722","±2,844","70.5%","±2.5","248,219","±5,404","65.3%","±0.9","4,991","±821","37.7%","±5.4","103,929","±3,774","67.5%","±1.6","70,029","±3,235","59.8%","±1.8","97,277","±4,212","64.7%","±1.7","15,433","±1,805","65.8%","±3.9","12,461","±1,495","74.5%","±5.2","6,065","±966","60.8%","±6.1"
"        Median (dollars)","552","±19","(X)","(X)","499","±7","(X)","(X)","346","±25","(X)","(X)","528","±14","(X)","(X)","469","±13","(X)","(X)","503","±12","(X)","(X)","520","±36","(X)","(X)","582","±50","(X)","(X)","475","±44","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","216,545","±4,953","216,545","(X)","1,089,888","±13,429","1,089,888","(X)","27,248","±2,019","27,248","(X)","421,424","±6,987","421,424","(X)","323,375","±7,690","323,375","(X)","416,019","±7,986","416,019","(X)","49,627","±2,754","49,627","(X)","39,597","±2,391","39,597","(X)","24,809","±1,785","24,809","(X)"
"        Less than 20.0 percent","72,002","±3,493","33.3%","±1.5","288,773","±7,540","26.5%","±0.6","9,148","±1,263","33.6%","±4.6","130,142","±5,116","30.9%","±1.1","91,319","±4,031","28.2%","±1.3","117,226","±4,759","28.2%","±1.1","16,152","±2,000","32.5%","±3.3","11,154","±1,427","28.2%","±3.6","8,678","±1,033","35.0%","±4.0"
"        20.0 to 24.9 percent","33,909","±2,710","15.7%","±1.2","152,949","±4,753","14.0%","±0.4","4,982","±1,115","18.3%","±3.7","62,428","±3,508","14.8%","±0.8","50,355","±3,703","15.6%","±1.1","68,521","±4,263","16.5%","±0.9","7,766","±1,118","15.6%","±2.3","5,508","±1,214","13.9%","±2.9","3,908","±1,011","15.8%","±4.0"
"        25.0 to 29.9 percent","27,705","±2,178","12.8%","±1.0","133,421","±4,310","12.2%","±0.4","3,013","±919","11.1%","±3.3","51,569","±3,590","12.2%","±0.8","41,163","±3,115","12.7%","±0.9","55,783","±3,905","13.4%","±0.9","5,875","±1,077","11.8%","±2.2","4,655","±955","11.8%","±2.4","3,176","±718","12.8%","±2.7"
"        30.0 to 34.9 percent","21,958","±2,016","10.1%","±0.9","105,752","±4,374","9.7%","±0.4","1,962","±670","7.2%","±2.4","39,849","±2,944","9.5%","±0.7","31,161","±2,972","9.6%","±0.9","37,050","±3,084","8.9%","±0.7","4,972","±846","10.0%","±1.7","4,114","±955","10.4%","±2.3","2,547","±853","10.3%","±3.2"
"        35.0 percent or more","60,971","±3,653","28.2%","±1.5","408,993","±9,486","37.5%","±0.7","8,143","±1,546","29.9%","±4.9","137,436","±5,068","32.6%","±1.1","109,377","±5,517","33.8%","±1.4","137,439","±5,279","33.0%","±1.1","14,862","±1,826","29.9%","±3.0","14,166","±1,961","35.8%","±3.9","6,500","±1,212","26.2%","±4.2"
"    Not computed","1,325","±604","(X)","(X)","7,673","±1,211","(X)","(X)","169","±206","(X)","(X)","1,922","±728","(X)","(X)","1,730","±600","(X)","(X)","10,706","±2,590","(X)","(X)","0","±203","(X)","(X)","95","±159","(X)","(X)","36","±61","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","69,908","±3,022","69,908","(X)","373,718","±6,555","373,718","(X)","13,127","±1,430","13,127","(X)","152,183","±4,895","152,183","(X)","115,235","±4,236","115,235","(X)","146,994","±4,945","146,994","(X)","23,116","±2,198","23,116","(X)","16,448","±1,522","16,448","(X)","9,705","±1,213","9,705","(X)"
"        Less than 10.0 percent","36,133","±2,730","51.7%","±2.8","170,605","±4,726","45.7%","±1.2","5,957","±1,172","45.4%","±6.5","76,588","±3,710","50.3%","±1.7","48,512","±2,845","42.1%","±1.9","67,805","±3,499","46.1%","±1.9","10,027","±1,356","43.4%","±4.3","7,629","±1,120","46.4%","±6.0","4,626","±806","47.7%","±6.4"
"        10.0 to 14.9 percent","10,569","±1,276","15.1%","±1.9","67,325","±3,734","18.0%","±0.9","2,801","±741","21.3%","±5.3","25,725","±2,270","16.9%","±1.4","18,864","±1,631","16.4%","±1.3","24,430","±2,473","16.6%","±1.5","3,959","±813","17.1%","±3.3","2,407","±687","14.6%","±4.0","2,317","±613","23.9%","±5.5"
"        15.0 to 19.9 percent","7,804","±1,315","11.2%","±1.9","38,327","±2,632","10.3%","±0.7","1,493","±580","11.4%","±4.3","12,834","±1,520","8.4%","±0.9","13,063","±1,539","11.3%","±1.3","15,416","±1,792","10.5%","±1.1","2,386","±727","10.3%","±3.0","2,246","±738","13.7%","±4.3","847","±396","8.7%","±3.8"
"        20.0 to 24.9 percent","4,506","±990","6.4%","±1.3","23,202","±1,868","6.2%","±0.5","785","±311","6.0%","±2.5","8,507","±1,510","5.6%","±1.0","9,776","±1,447","8.5%","±1.2","10,176","±1,521","6.9%","±1.0","1,676","±747","7.3%","±3.0","1,141","±487","6.9%","±3.0","290","±224","3.0%","±2.2"
"        25.0 to 29.9 percent","2,123","±672","3.0%","±1.0","15,177","±1,612","4.1%","±0.4","304","±274","2.3%","±2.1","4,922","±896","3.2%","±0.6","5,822","±1,159","5.1%","±1.0","5,744","±1,080","3.9%","±0.7","1,082","±458","4.7%","±2.0","930","±408","5.7%","±2.5","335","±245","3.5%","±2.5"
"        30.0 to 34.9 percent","1,875","±598","2.7%","±0.8","11,271","±1,495","3.0%","±0.4","310","±211","2.4%","±1.6","4,785","±1,083","3.1%","±0.7","3,920","±916","3.4%","±0.8","4,483","±1,190","3.0%","±0.8","1,069","±386","4.6%","±1.6","785","±548","4.8%","±3.2","131","±156","1.3%","±1.6"
"        35.0 percent or more","6,898","±1,091","9.9%","±1.6","47,811","±3,200","12.8%","±0.8","1,477","±484","11.3%","±3.7","18,822","±2,172","12.4%","±1.4","15,278","±1,547","13.3%","±1.2","18,940","±2,010","12.9%","±1.3","2,917","±762","12.6%","±3.1","1,310","±682","8.0%","±3.9","1,159","±502","11.9%","±5.1"
"    Not computed","639","±320","(X)","(X)","6,615","±1,272","(X)","(X)","106","±142","(X)","(X)","1,713","±608","(X)","(X)","1,839","±478","(X)","(X)","3,266","±995","(X)","(X)","340","±260","(X)","(X)","286","±250","(X)","(X)","266","±207","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","260,616","±5,693","260,616","(X)","1,725,102","±13,798","1,725,102","(X)","35,207","±1,969","35,207","(X)","415,913","±7,088","415,913","(X)","241,615","±6,479","241,615","(X)","504,584","±7,752","504,584","(X)","64,917","±3,239","64,917","(X)","36,250","±2,668","36,250","(X)","34,348","±2,106","34,348","(X)"
"        Less than $200","2,563","±673","1.0%","±0.3","12,593","±1,629","0.7%","±0.1","598","±374","1.7%","±1.0","1,821","±706","0.4%","±0.2","1,349","±673","0.6%","±0.3","3,811","±1,103","0.8%","±0.2","386","±319","0.6%","±0.5","157","±210","0.4%","±0.6","240","±249","0.7%","±0.7"
"        $200 to $299","7,619","±1,565","2.9%","±0.6","37,129","±2,650","2.2%","±0.2","541","±337","1.5%","±1.0","5,698","±1,122","1.4%","±0.3","3,487","±812","1.4%","±0.3","8,278","±1,643","1.6%","±0.3","1,373","±635","2.1%","±1.0","607","±360","1.7%","±1.0","776","±512","2.3%","±1.5"
"        $300 to $499","8,216","±1,330","3.2%","±0.5","47,809","±3,374","2.8%","±0.2","2,703","±858","7.7%","±2.4","8,859","±1,637","2.1%","±0.4","8,654","±1,640","3.6%","±0.7","10,511","±1,701","2.1%","±0.3","1,925","±632","3.0%","±1.0","2,640","±1,026","7.3%","±2.7","1,165","±564","3.4%","±1.6"
"        $500 to $749","15,649","±2,021","6.0%","±0.7","134,703","±5,062","7.8%","±0.3","9,193","±1,358","26.1%","±3.8","9,354","±1,730","2.2%","±0.4","27,542","±2,900","11.4%","±1.1","24,362","±2,298","4.8%","±0.4","4,218","±856","6.5%","±1.2","3,219","±1,005","8.9%","±2.8","5,484","±1,084","16.0%","±3.1"
"        $750 to $999","35,647","±2,846","13.7%","±1.1","343,203","±7,634","19.9%","±0.4","9,611","±1,524","27.3%","±4.1","32,620","±2,748","7.8%","±0.6","48,772","±3,201","20.2%","±1.2","83,255","±4,594","16.5%","±0.9","9,741","±1,509","15.0%","±2.2","3,958","±1,328","10.9%","±3.4","6,413","±1,375","18.7%","±3.9"
"        $1,000 to $1,499","91,532","±4,402","35.1%","±1.6","634,450","±10,995","36.8%","±0.5","9,631","±1,464","27.4%","±3.7","149,974","±5,463","36.1%","±1.2","84,968","±3,973","35.2%","±1.4","189,673","±6,311","37.6%","±1.2","20,795","±2,543","32.0%","±3.7","11,374","±1,824","31.4%","±4.8","13,093","±1,534","38.1%","±4.0"
"        $1,500 or more","99,390","±5,324","38.1%","±1.7","515,215","±10,125","29.9%","±0.5","2,930","±964","8.3%","±2.7","207,587","±6,623","49.9%","±1.3","66,843","±3,751","27.7%","±1.3","184,694","±6,651","36.6%","±1.1","26,479","±2,461","40.8%","±3.0","14,295","±1,804","39.4%","±4.2","7,177","±1,466","20.9%","±3.8"
"        Median (dollars)","1,335","±18","(X)","(X)","1,205","±5","(X)","(X)","864","±38","(X)","(X)","1,499","±20","(X)","(X)","1,164","±18","(X)","(X)","1,289","±19","(X)","(X)","1,336","±48","(X)","(X)","1,350","±58","(X)","(X)","1,110","±46","(X)","(X)"
"    No rent paid","6,876","±1,221","(X)","(X)","44,709","±3,641","(X)","(X)","1,794","±528","(X)","(X)","10,635","±1,651","(X)","(X)","9,791","±1,533","(X)","(X)","11,817","±1,694","(X)","(X)","2,665","±968","(X)","(X)","1,306","±649","(X)","(X)","1,860","±781","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","255,495","±5,866","255,495","(X)","1,686,543","±13,118","1,686,543","(X)","34,756","±2,017","34,756","(X)","406,232","±6,807","406,232","(X)","237,303","±6,193","237,303","(X)","486,541","±7,846","486,541","(X)","64,043","±3,285","64,043","(X)","35,525","±2,687","35,525","(X)","32,700","±2,094","32,700","(X)"
"        Less than 15.0 percent","27,962","±2,620","10.9%","±1.0","138,045","±5,671","8.2%","±0.3","3,399","±897","9.8%","±2.5","28,188","±2,664","6.9%","±0.7","14,010","±2,053","5.9%","±0.8","37,561","±3,669","7.7%","±0.8","4,984","±1,132","7.8%","±1.7","2,374","±816","6.7%","±2.2","2,582","±779","7.9%","±2.4"
"        15.0 to 19.9 percent","29,750","±2,857","11.6%","±1.1","170,077","±5,639","10.1%","±0.3","2,879","±880","8.3%","±2.6","40,917","±3,499","10.1%","±0.9","22,021","±2,756","9.3%","±1.1","50,122","±3,212","10.3%","±0.6","6,800","±1,392","10.6%","±2.0","1,832","±657","5.2%","±1.8","3,833","±1,048","11.7%","±3.2"
"        20.0 to 24.9 percent","32,100","±2,839","12.6%","±1.1","186,264","±6,347","11.0%","±0.4","4,506","±989","13.0%","±2.8","50,299","±3,674","12.4%","±0.9","26,582","±2,457","11.2%","±1.0","62,134","±4,187","12.8%","±0.8","5,676","±1,018","8.9%","±1.7","4,011","±1,225","11.3%","±3.3","3,750","±1,002","11.5%","±3.1"
"        25.0 to 29.9 percent","29,767","±2,746","11.7%","±1.0","182,969","±6,786","10.8%","±0.4","5,325","±1,306","15.3%","±3.6","50,094","±4,091","12.3%","±1.0","26,895","±2,848","11.3%","±1.2","59,662","±4,254","12.3%","±0.8","8,498","±1,689","13.3%","±2.5","4,227","±1,065","11.9%","±2.9","4,750","±1,314","14.5%","±3.8"
"        30.0 to 34.9 percent","26,206","±2,440","10.3%","±0.9","160,917","±6,512","9.5%","±0.4","2,582","±814","7.4%","±2.3","36,537","±3,408","9.0%","±0.8","24,490","±2,635","10.3%","±1.1","48,790","±3,591","10.0%","±0.7","8,164","±1,640","12.7%","±2.4","3,221","±949","9.1%","±2.7","2,383","±823","7.3%","±2.4"
"        35.0 percent or more","109,710","±4,740","42.9%","±1.5","848,271","±12,241","50.3%","±0.6","16,065","±1,761","46.2%","±4.3","200,197","±6,949","49.3%","±1.4","123,305","±5,178","52.0%","±1.8","228,272","±7,381","46.9%","±1.2","29,921","±2,739","46.7%","±3.7","19,860","±2,277","55.9%","±4.8","15,402","±1,756","47.1%","±4.6"
"    Not computed","11,997","±1,510","(X)","(X)","83,268","±5,020","(X)","(X)","2,245","±589","(X)","(X)","20,316","±2,231","(X)","(X)","14,103","±1,949","(X)","(X)","29,860","±3,037","(X)","(X)","3,539","±1,130","(X)","(X)","2,031","±794","(X)","(X)","3,508","±1,009","(X)","(X)"
