"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    Lacking complete plumbing facilities","2,784","±1,071","0.5%","±0.2","21,741","±2,535","0.7%","±0.1","342","±352","0.5%","±0.5","3,155","±1,233","0.3%","±0.1","3,182","±961","0.5%","±0.1","5,390","±1,301","0.5%","±0.1","881","±425","0.6%","±0.3","399","±347","0.6%","±0.5","957","±701","1.4%","±1.0"
"    Lacking complete kitchen facilities","5,081","±1,293","0.9%","±0.2","59,513","±3,673","1.9%","±0.1","583","±393","0.8%","±0.5","11,613","±2,031","1.2%","±0.2","6,775","±1,439","1.0%","±0.2","9,517","±1,673","0.9%","±0.2","2,708","±678","1.9%","±0.5","680","±420","1.0%","±0.6","1,079","±722","1.5%","±1.0"
"    No telephone service available","10,166","±1,516","1.9%","±0.3","69,385","±4,350","2.2%","±0.1","1,211","±498","1.6%","±0.7","16,357","±2,074","1.6%","±0.2","12,952","±1,850","1.9%","±0.3","35,867","±3,196","3.4%","±0.3","2,521","±593","1.8%","±0.4","913","±492","1.3%","±0.7","1,300","±562","1.9%","±0.8"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    1.00 or less","512,049","±4,110","93.9%","±0.4","2,820,165","±10,342","88.1%","±0.2","68,371","±1,711","91.4%","±1.5","896,856","±6,530","90.3%","±0.4","632,502","±6,881","92.4%","±0.6","1,001,585","±6,940","94.4%","±0.3","128,327","±2,450","91.1%","±1.1","66,632","±2,308","96.4%","±1.2","66,191","±1,881","94.4%","±1.6"
"    1.01 to 1.50","23,520","±2,033","4.3%","±0.4","227,026","±6,946","7.1%","±0.2","5,265","±1,091","7.0%","±1.4","59,598","±3,828","6.0%","±0.4","39,579","±3,693","5.8%","±0.5","41,134","±3,291","3.9%","±0.3","8,009","±1,322","5.7%","±0.9","1,471","±558","2.1%","±0.8","2,929","±1,029","4.2%","±1.5"
"    1.51 or more","9,990","±1,837","1.8%","±0.3","154,604","±6,228","4.8%","±0.2","1,197","±518","1.6%","±0.7","36,401","±2,926","3.7%","±0.3","12,713","±1,880","1.9%","±0.3","18,337","±2,100","1.7%","±0.2","4,553","±940","3.2%","±0.7","999","±612","1.4%","±0.9","981","±617","1.4%","±0.9"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","289,222","±5,684","289,222","(X)","1,482,011","±12,100","1,482,011","(X)","38,880","±2,463","38,880","(X)","581,991","±6,072","581,991","(X)","451,415","±7,857","451,415","(X)","565,447","±6,512","565,447","(X)","71,387","±2,527","71,387","(X)","45,256","±1,976","45,256","(X)","37,802","±2,312","37,802","(X)"
"    Less than $50,000","5,442","±1,040","1.9%","±0.4","37,146","±2,620","2.5%","±0.2","2,500","±573","6.4%","±1.5","14,535","±1,619","2.5%","±0.3","26,920","±2,846","6.0%","±0.6","19,254","±1,673","3.4%","±0.3","2,308","±759","3.2%","±1.1","4,495","±1,150","9.9%","±2.4","2,016","±557","5.3%","±1.5"
"    $50,000 to $99,999","5,344","±1,092","1.8%","±0.4","30,483","±2,338","2.1%","±0.2","8,400","±1,157","21.6%","±2.6","12,562","±1,404","2.2%","±0.2","35,059","±2,926","7.8%","±0.6","14,398","±1,807","2.5%","±0.3","1,778","±536","2.5%","±0.7","2,944","±711","6.5%","±1.5","976","±545","2.6%","±1.4"
"    $100,000 to $149,999","7,624","±1,390","2.6%","±0.5","45,377","±3,449","3.1%","±0.2","9,058","±1,578","23.3%","±3.5","11,885","±1,824","2.0%","±0.3","60,813","±4,178","13.5%","±0.9","15,702","±1,524","2.8%","±0.3","2,957","±618","4.1%","±0.8","5,194","±1,138","11.5%","±2.4","2,744","±851","7.3%","±2.2"
"    $150,000 to $199,999","9,241","±1,470","3.2%","±0.5","69,733","±3,864","4.7%","±0.3","7,440","±1,303","19.1%","±3.2","15,053","±1,595","2.6%","±0.3","75,212","±5,255","16.7%","±1.1","27,268","±2,479","4.8%","±0.4","4,570","±944","6.4%","±1.3","9,501","±1,573","21.0%","±3.4","4,557","±968","12.1%","±2.5"
"    $200,000 to $299,999","37,854","±3,152","13.1%","±1.1","230,536","±7,138","15.6%","±0.5","6,780","±1,241","17.4%","±3.0","46,711","±2,727","8.0%","±0.5","115,887","±6,119","25.7%","±1.3","88,253","±3,500","15.6%","±0.6","12,401","±1,267","17.4%","±1.7","11,755","±1,632","26.0%","±3.5","9,236","±1,574","24.4%","±3.8"
"    $300,000 to $499,999","87,751","±3,781","30.3%","±1.1","519,928","±8,785","35.1%","±0.5","2,954","±700","7.6%","±1.8","185,972","±5,344","32.0%","±0.9","104,110","±5,163","23.1%","±1.1","208,296","±5,579","36.8%","±0.9","15,297","±1,526","21.4%","±1.9","7,828","±1,217","17.3%","±2.8","10,158","±1,496","26.9%","±3.7"
"    $500,000 to $999,999","115,737","±4,486","40.0%","±1.3","414,355","±7,357","28.0%","±0.5","1,261","±425","3.2%","±1.1","243,280","±5,627","41.8%","±0.8","27,612","±2,786","6.1%","±0.6","157,566","±4,790","27.9%","±0.8","20,919","±1,590","29.3%","±2.1","3,043","±815","6.7%","±1.8","7,401","±1,062","19.6%","±2.4"
"    $1,000,000 or more","20,229","±1,791","7.0%","±0.6","134,453","±4,462","9.1%","±0.3","487","±262","1.3%","±0.7","51,993","±3,136","8.9%","±0.5","5,802","±1,558","1.3%","±0.3","34,710","±2,534","6.1%","±0.4","11,157","±1,349","15.6%","±1.9","496","±258","1.1%","±0.6","714","±350","1.9%","±0.9"
"    Median (dollars)","480,700","±8,458","(X)","(X)","410,600","±3,285","(X)","(X)","146,700","±8,538","(X)","(X)","506,300","±7,233","(X)","(X)","222,700","±4,417","(X)","(X)","396,500","±3,593","(X)","(X)","447,700","±22,554","(X)","(X)","203,700","±12,973","(X)","(X)","290,200","±21,767","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","289,222","±5,684","289,222","(X)","1,482,011","±12,100","1,482,011","(X)","38,880","±2,463","38,880","(X)","581,991","±6,072","581,991","(X)","451,415","±7,857","451,415","(X)","565,447","±6,512","565,447","(X)","71,387","±2,527","71,387","(X)","45,256","±1,976","45,256","(X)","37,802","±2,312","37,802","(X)"
"    Housing units with a mortgage","222,697","±5,513","77.0%","±1.1","1,126,864","±11,396","76.0%","±0.5","28,126","±2,290","72.3%","±2.8","443,304","±6,618","76.2%","±0.7","337,651","±8,577","74.8%","±1.2","427,532","±6,778","75.6%","±0.7","49,518","±2,347","69.4%","±2.1","28,355","±2,012","62.7%","±2.9","28,085","±2,016","74.3%","±3.0"
"    Housing units without a mortgage","66,525","±3,269","23.0%","±1.1","355,147","±8,018","24.0%","±0.5","10,754","±1,144","27.7%","±2.8","138,687","±3,984","23.8%","±0.7","113,764","±5,528","25.2%","±1.2","137,915","±4,071","24.4%","±0.7","21,869","±1,656","30.6%","±2.1","16,901","±1,352","37.3%","±2.9","9,717","±1,290","25.7%","±3.0"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","222,697","±5,513","222,697","(X)","1,126,864","±11,396","1,126,864","(X)","28,126","±2,290","28,126","(X)","443,304","±6,618","443,304","(X)","337,651","±8,577","337,651","(X)","427,532","±6,778","427,532","(X)","49,518","±2,347","49,518","(X)","28,355","±2,012","28,355","(X)","28,085","±2,016","28,085","(X)"
"    Less than $300","279","±374","0.1%","±0.2","1,398","±519","0.1%","±0.1","0","±208","0.0%","±0.6","435","±305","0.1%","±0.1","655","±462","0.2%","±0.1","547","±364","0.1%","±0.1","41","±67","0.1%","±0.1","53","±63","0.2%","±0.2","0","±208","0.0%","±0.6"
"    $300 to $499","645","±402","0.3%","±0.2","6,781","±1,200","0.6%","±0.1","512","±297","1.8%","±1.0","2,310","±641","0.5%","±0.1","2,710","±790","0.8%","±0.2","2,121","±670","0.5%","±0.2","392","±237","0.8%","±0.5","534","±302","1.9%","±1.1","531","±462","1.9%","±1.6"
"    $500 to $699","2,627","±869","1.2%","±0.4","14,141","±1,450","1.3%","±0.1","1,152","±387","4.1%","±1.4","4,597","±864","1.0%","±0.2","5,056","±956","1.5%","±0.3","6,070","±1,105","1.4%","±0.3","735","±332","1.5%","±0.7","1,437","±434","5.1%","±1.5","185","±162","0.7%","±0.6"
"    $700 to $999","6,804","±1,006","3.1%","±0.4","41,180","±2,450","3.7%","±0.2","4,449","±967","15.8%","±3.2","12,941","±1,643","2.9%","±0.4","24,592","±2,706","7.3%","±0.8","17,107","±1,860","4.0%","±0.4","2,081","±707","4.2%","±1.4","4,261","±1,136","15.0%","±3.8","1,903","±862","6.8%","±3.1"
"    $1,000 to $1,499","19,180","±1,931","8.6%","±0.8","158,705","±6,376","14.1%","±0.5","9,451","±1,521","33.6%","±4.4","42,328","±2,613","9.5%","±0.6","72,869","±4,932","21.6%","±1.3","57,464","±3,834","13.4%","±0.9","6,868","±967","13.9%","±1.9","7,495","±1,309","26.4%","±4.6","3,735","±1,006","13.3%","±3.4"
"    $1,500 to $1,999","35,633","±2,795","16.0%","±1.2","222,834","±6,528","19.8%","±0.6","6,879","±1,260","24.5%","±3.8","72,516","±3,552","16.4%","±0.8","80,316","±5,784","23.8%","±1.6","79,742","±3,925","18.7%","±0.9","9,254","±1,074","18.7%","±2.2","6,428","±1,102","22.7%","±3.6","7,517","±1,235","26.8%","±4.2"
"    $2,000 or more","157,529","±4,873","70.7%","±1.4","681,825","±10,322","60.5%","±0.7","5,683","±1,101","20.2%","±3.8","308,177","±6,676","69.5%","±0.9","151,453","±6,268","44.9%","±1.6","264,481","±6,711","61.9%","±1.2","30,147","±2,147","60.9%","±2.6","8,147","±1,532","28.7%","±4.7","14,214","±1,948","50.6%","±5.3"
"    Median (dollars)","2,516","±43","(X)","(X)","2,295","±18","(X)","(X)","1,387","±83","(X)","(X)","2,532","±35","(X)","(X)","1,884","±32","(X)","(X)","2,326","±32","(X)","(X)","2,342","±90","(X)","(X)","1,529","±108","(X)","(X)","2,019","±144","(X)","(X)"
"    Housing units without a mortgage","66,525","±3,269","66,525","(X)","355,147","±8,018","355,147","(X)","10,754","±1,144","10,754","(X)","138,687","±3,984","138,687","(X)","113,764","±5,528","113,764","(X)","137,915","±4,071","137,915","(X)","21,869","±1,656","21,869","(X)","16,901","±1,352","16,901","(X)","9,717","±1,290","9,717","(X)"
"    Less than $100","565","±323","0.8%","±0.5","4,265","±849","1.2%","±0.2","128","±139","1.2%","±1.3","2,947","±669","2.1%","±0.5","2,009","±792","1.8%","±0.7","3,564","±795","2.6%","±0.6","215","±186","1.0%","±0.9","367","±250","2.2%","±1.5","150","±169","1.5%","±1.7"
"    $100 to $199","1,770","±507","2.7%","±0.7","17,829","±1,530","5.0%","±0.4","1,316","±397","12.2%","±3.7","7,368","±1,045","5.3%","±0.7","8,019","±1,421","7.0%","±1.2","10,562","±1,228","7.7%","±0.9","1,411","±515","6.5%","±2.3","1,647","±658","9.7%","±3.8","888","±519","9.1%","±5.2"
"    $200 to $299","9,053","±1,240","13.6%","±1.8","52,341","±3,048","14.7%","±0.8","2,335","±605","21.7%","±5.4","17,964","±1,706","13.0%","±1.2","16,787","±1,999","14.8%","±1.6","20,786","±2,009","15.1%","±1.3","2,440","±605","11.2%","±2.6","2,645","±697","15.6%","±4.0","1,513","±479","15.6%","±4.8"
"    $300 to $399","11,554","±1,302","17.4%","±1.8","62,818","±3,690","17.7%","±0.9","2,563","±800","23.8%","±6.7","19,934","±1,510","14.4%","±1.1","19,180","±2,181","16.9%","±1.8","21,787","±1,938","15.8%","±1.4","3,345","±835","15.3%","±3.5","3,519","±782","20.8%","±4.5","1,470","±538","15.1%","±5.4"
"    $400 or more","43,583","±2,909","65.5%","±2.6","217,894","±6,157","61.4%","±1.0","4,412","±884","41.0%","±6.5","90,474","±3,950","65.2%","±1.7","67,769","±4,465","59.6%","±2.2","81,216","±3,413","58.9%","±1.7","14,458","±1,342","66.1%","±4.4","8,723","±1,376","51.6%","±6.6","5,696","±1,114","58.6%","±7.3"
"    Median (dollars)","502","±20","(X)","(X)","476","±8","(X)","(X)","366","±24","(X)","(X)","505","±15","(X)","(X)","465","±15","(X)","(X)","463","±12","(X)","(X)","499","±36","(X)","(X)","407","±28","(X)","(X)","449","±41","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","222,028","±5,524","222,028","(X)","1,120,395","±11,513","1,120,395","(X)","27,760","±2,246","27,760","(X)","440,886","±6,616","440,886","(X)","335,679","±8,500","335,679","(X)","418,429","±6,667","418,429","(X)","49,020","±2,303","49,020","(X)","28,336","±2,010","28,336","(X)","28,085","±2,016","28,085","(X)"
"    Less than 20.0 percent","54,200","±3,344","24.4%","±1.4","239,991","±7,194","21.4%","±0.6","8,319","±1,297","30.0%","±4.1","108,568","±4,870","24.6%","±1.0","71,654","±4,967","21.3%","±1.4","95,570","±4,636","22.8%","±1.0","11,181","±1,218","22.8%","±2.4","8,078","±1,352","28.5%","±4.5","7,708","±1,281","27.4%","±4.5"
"    20.0 to 24.9 percent","36,624","±2,908","16.5%","±1.2","143,649","±6,223","12.8%","±0.5","3,752","±903","13.5%","±3.2","61,963","±3,451","14.1%","±0.7","47,208","±4,652","14.1%","±1.3","60,537","±4,220","14.5%","±1.0","6,120","±1,073","12.5%","±2.2","5,003","±919","17.7%","±3.1","6,359","±1,421","22.6%","±4.6"
"    25.0 to 29.9 percent","30,681","±2,380","13.8%","±1.1","132,132","±5,582","11.8%","±0.5","3,376","±821","12.2%","±3.0","56,354","±3,964","12.8%","±0.9","40,345","±3,358","12.0%","±1.1","55,824","±3,404","13.3%","±0.8","7,141","±1,261","14.6%","±2.4","3,469","±1,001","12.2%","±3.2","3,191","±908","11.4%","±2.9"
"    30.0 to 34.9 percent","20,442","±2,165","9.2%","±1.0","116,443","±5,572","10.4%","±0.5","2,307","±786","8.3%","±2.7","46,184","±3,336","10.5%","±0.7","39,474","±4,101","11.8%","±1.2","42,301","±3,196","10.1%","±0.7","5,615","±1,027","11.5%","±2.0","2,401","±710","8.5%","±2.4","2,540","±859","9.0%","±3.0"
"    35.0 percent or more","80,081","±4,107","36.1%","±1.6","488,180","±9,930","43.6%","±0.8","10,006","±1,536","36.0%","±4.2","167,817","±5,470","38.1%","±1.1","136,998","±6,586","40.8%","±1.6","164,197","±5,226","39.2%","±1.1","18,963","±2,090","38.7%","±3.6","9,385","±1,581","33.1%","±5.1","8,287","±1,450","29.5%","±5.0"
"    Not computed","669","±409","(X)","(X)","6,469","±1,258","(X)","(X)","366","±314","(X)","(X)","2,418","±695","(X)","(X)","1,972","±769","(X)","(X)","9,103","±1,789","(X)","(X)","498","±311","(X)","(X)","19","±32","(X)","(X)","0","±208","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","65,584","±3,256","65,584","(X)","350,175","±7,891","350,175","(X)","10,535","±1,181","10,535","(X)","136,557","±3,946","136,557","(X)","112,287","±5,377","112,287","(X)","136,096","±4,279","136,096","(X)","21,618","±1,617","21,618","(X)","16,676","±1,359","16,676","(X)","9,501","±1,317","9,501","(X)"
"    Less than 10.0 percent","31,936","±2,462","48.7%","±2.8","155,198","±5,619","44.3%","±1.1","4,801","±805","45.6%","±7.0","65,211","±3,317","47.8%","±2.1","38,384","±3,173","34.2%","±2.4","62,943","±3,384","46.2%","±2.3","9,852","±1,250","45.6%","±4.3","6,113","±1,269","36.7%","±6.6","4,309","±943","45.4%","±8.0"
"    10.0 to 14.9 percent","11,560","±1,418","17.6%","±2.1","61,337","±3,125","17.5%","±0.9","1,968","±666","18.7%","±5.5","23,544","±2,362","17.2%","±1.7","21,955","±3,064","19.6%","±2.3","24,414","±1,954","17.9%","±1.4","3,312","±692","15.3%","±3.3","2,909","±678","17.4%","±4.1","1,656","±615","17.4%","±6.1"
"    15.0 to 19.9 percent","5,960","±1,303","9.1%","±1.9","37,661","±2,563","10.8%","±0.7","1,169","±538","11.1%","±4.8","15,211","±1,720","11.1%","±1.2","14,354","±2,054","12.8%","±1.8","14,230","±1,649","10.5%","±1.1","2,986","±742","13.8%","±3.1","2,343","±711","14.1%","±4.1","1,007","±473","10.6%","±4.8"
"    20.0 to 24.9 percent","3,774","±794","5.8%","±1.2","25,188","±1,813","7.2%","±0.5","790","±341","7.5%","±3.0","8,906","±1,252","6.5%","±0.9","8,949","±1,601","8.0%","±1.3","9,098","±1,564","6.7%","±1.1","1,557","±492","7.2%","±2.3","1,763","±566","10.6%","±3.4","774","±476","8.1%","±5.0"
"    25.0 to 29.9 percent","3,142","±884","4.8%","±1.3","16,742","±1,922","4.8%","±0.5","632","±350","6.0%","±3.2","5,639","±1,112","4.1%","±0.8","6,685","±1,407","6.0%","±1.2","4,542","±786","3.3%","±0.6","718","±335","3.3%","±1.6","1,060","±614","6.4%","±3.6","179","±162","1.9%","±1.7"
"    30.0 to 34.9 percent","2,157","±733","3.3%","±1.1","10,216","±1,362","2.9%","±0.4","425","±331","4.0%","±3.1","3,261","±799","2.4%","±0.6","4,927","±1,050","4.4%","±0.9","3,980","±972","2.9%","±0.7","547","±390","2.5%","±1.8","532","±303","3.2%","±1.8","481","±316","5.1%","±3.2"
"    35.0 percent or more","7,055","±1,150","10.8%","±1.6","43,833","±2,736","12.5%","±0.8","750","±353","7.1%","±3.4","14,785","±1,506","10.8%","±1.0","17,033","±2,476","15.2%","±2.2","16,889","±1,901","12.4%","±1.3","2,646","±716","12.2%","±3.2","1,956","±619","11.7%","±3.4","1,095","±568","11.5%","±5.5"
"    Not computed","941","±636","(X)","(X)","4,972","±1,099","(X)","(X)","219","±198","(X)","(X)","2,130","±622","(X)","(X)","1,477","±604","(X)","(X)","1,819","±705","(X)","(X)","251","±195","(X)","(X)","225","±172","(X)","(X)","216","±270","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","247,094","±6,268","247,094","(X)","1,675,291","±14,403","1,675,291","(X)","33,356","±2,318","33,356","(X)","401,286","±6,820","401,286","(X)","224,587","±8,167","224,587","(X)","481,552","±7,919","481,552","(X)","66,810","±2,690","66,810","(X)","22,338","±2,111","22,338","(X)","31,322","±2,310","31,322","(X)"
"    Less than $200","2,299","±717","0.9%","±0.3","9,093","±1,510","0.5%","±0.1","266","±278","0.8%","±0.8","1,600","±710","0.4%","±0.2","1,521","±882","0.7%","±0.4","2,403","±823","0.5%","±0.2","499","±352","0.7%","±0.5","201","±321","0.9%","±1.4","126","±133","0.4%","±0.4"
"    $200 to $299","8,298","±1,549","3.4%","±0.6","38,440","±3,066","2.3%","±0.2","631","±326","1.9%","±1.0","5,297","±1,117","1.3%","±0.3","5,610","±1,238","2.5%","±0.6","6,588","±1,234","1.4%","±0.3","902","±340","1.4%","±0.5","953","±465","4.3%","±2.0","616","±348","2.0%","±1.1"
"    $300 to $499","8,227","±1,587","3.3%","±0.6","51,215","±3,459","3.1%","±0.2","2,981","±794","8.9%","±2.4","7,389","±1,586","1.8%","±0.4","8,681","±1,442","3.9%","±0.6","11,464","±1,684","2.4%","±0.3","2,037","±708","3.0%","±1.1","1,541","±562","6.9%","±2.5","2,052","±1,053","6.6%","±3.3"
"    $500 to $749","15,652","±1,865","6.3%","±0.8","153,984","±5,758","9.2%","±0.3","9,605","±1,304","28.8%","±4.1","10,642","±1,257","2.7%","±0.3","27,658","±2,922","12.3%","±1.2","31,905","±3,258","6.6%","±0.7","5,797","±1,357","8.7%","±2.0","4,606","±1,181","20.6%","±4.9","4,505","±1,101","14.4%","±3.4"
"    $750 to $999","40,959","±3,186","16.6%","±1.2","355,103","±8,734","21.2%","±0.5","9,333","±1,783","28.0%","±4.5","37,796","±3,226","9.4%","±0.8","51,832","±4,158","23.1%","±1.7","96,701","±5,188","20.1%","±1.0","11,037","±1,733","16.5%","±2.5","6,699","±1,233","30.0%","±5.4","8,781","±1,476","28.0%","±4.4"
"    $1,000 to $1,499","91,792","±5,126","37.1%","±1.8","622,479","±11,001","37.2%","±0.6","9,272","±1,519","27.8%","±3.8","162,892","±6,108","40.6%","±1.4","73,779","±4,412","32.9%","±1.7","174,876","±5,839","36.3%","±1.1","22,082","±2,069","33.1%","±2.8","5,471","±1,443","24.5%","±5.4","9,771","±1,756","31.2%","±4.7"
"    $1,500 or more","79,867","±4,580","32.3%","±1.6","444,977","±11,116","26.6%","±0.6","1,268","±589","3.8%","±1.8","175,670","±6,673","43.8%","±1.4","55,506","±5,292","24.7%","±2.1","157,615","±6,630","32.7%","±1.2","24,456","±2,315","36.6%","±3.2","2,867","±873","12.8%","±3.7","5,471","±1,121","17.5%","±3.5"
"    Median (dollars)","1,244","±20","(X)","(X)","1,161","±7","(X)","(X)","814","±36","(X)","(X)","1,430","±14","(X)","(X)","1,101","±23","(X)","(X)","1,237","±16","(X)","(X)","1,265","±54","(X)","(X)","877","±48","(X)","(X)","987","±43","(X)","(X)"
"    No rent paid","9,243","±1,453","(X)","(X)","44,493","±3,610","(X)","(X)","2,597","±775","(X)","(X)","9,578","±1,524","(X)","(X)","8,792","±1,847","(X)","(X)","14,057","±2,031","(X)","(X)","2,692","±937","(X)","(X)","1,508","±719","(X)","(X)","977","±500","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","242,714","±6,393","242,714","(X)","1,636,322","±14,993","1,636,322","(X)","32,742","±2,316","32,742","(X)","393,350","±6,399","393,350","(X)","220,082","±8,379","220,082","(X)","462,176","±7,713","462,176","(X)","65,745","±2,658","65,745","(X)","21,686","±2,097","21,686","(X)","30,609","±2,298","30,609","(X)"
"    Less than 15.0 percent","21,743","±2,536","9.0%","±1.0","129,188","±5,487","7.9%","±0.3","2,394","±653","7.3%","±2.1","30,179","±3,319","7.7%","±0.8","13,623","±2,429","6.2%","±1.1","34,729","±3,353","7.5%","±0.7","5,668","±1,203","8.6%","±1.8","1,310","±556","6.0%","±2.4","2,005","±763","6.6%","±2.4"
"    15.0 to 19.9 percent","30,824","±2,983","12.7%","±1.2","152,143","±6,494","9.3%","±0.4","4,116","±1,164","12.6%","±3.2","42,671","±3,396","10.8%","±0.9","20,263","±2,628","9.2%","±1.2","43,912","±3,599","9.5%","±0.8","5,712","±1,108","8.7%","±1.7","1,017","±539","4.7%","±2.5","2,694","±916","8.8%","±2.9"
"    20.0 to 24.9 percent","32,011","±2,622","13.2%","±1.0","181,734","±6,949","11.1%","±0.4","3,208","±1,041","9.8%","±3.1","48,731","±4,143","12.4%","±1.1","25,083","±3,310","11.4%","±1.4","57,276","±4,541","12.4%","±1.0","7,749","±1,335","11.8%","±2.0","2,353","±787","10.9%","±3.6","3,215","±1,079","10.5%","±3.4"
"    25.0 to 29.9 percent","29,290","±2,812","12.1%","±1.1","186,266","±7,133","11.4%","±0.4","4,294","±1,289","13.1%","±3.8","46,586","±3,105","11.8%","±0.7","24,375","±3,155","11.1%","±1.4","54,577","±4,029","11.8%","±0.8","9,149","±1,436","13.9%","±2.2","1,939","±625","8.9%","±2.9","2,500","±772","8.2%","±2.5"
"    30.0 to 34.9 percent","22,720","±2,072","9.4%","±0.9","144,113","±5,319","8.8%","±0.3","2,244","±754","6.9%","±2.3","39,303","±2,806","10.0%","±0.7","21,620","±3,005","9.8%","±1.3","47,589","±4,319","10.3%","±0.9","6,678","±1,219","10.2%","±1.8","1,806","±634","8.3%","±2.7","3,076","±891","10.0%","±2.7"
"    35.0 percent or more","106,126","±5,331","43.7%","±1.7","842,878","±12,660","51.5%","±0.6","16,486","±1,887","50.4%","±5.1","185,880","±5,709","47.3%","±1.3","115,118","±6,987","52.3%","±2.3","224,093","±6,647","48.5%","±1.2","30,789","±2,490","46.8%","±3.1","13,261","±1,936","61.2%","±5.6","17,119","±1,868","55.9%","±4.9"
"    Not computed","13,623","±1,995","(X)","(X)","83,462","±4,477","(X)","(X)","3,211","±836","(X)","(X)","17,514","±2,135","(X)","(X)","13,297","±2,514","(X)","(X)","33,433","±3,745","(X)","(X)","3,757","±1,116","(X)","(X)","2,160","±695","(X)","(X)","1,690","±632","(X)","(X)"
