"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        Lacking complete plumbing facilities","2,092","±351","0.4%","±0.1","15,265","±965","0.5%","±0.1","275","±111","0.3%","±0.1","2,337","±390","0.2%","±0.1","2,188","±437","0.3%","±0.1","3,264","±457","0.3%","±0.1","483","±170","0.3%","±0.1","467","±181","0.7%","±0.3","375","±162","0.5%","±0.2"
"        Lacking complete kitchen facilities","5,232","±529","0.9%","±0.1","52,651","±1,835","1.6%","±0.1","468","±154","0.6%","±0.2","12,942","±916","1.2%","±0.1","5,609","±700","0.8%","±0.1","8,994","±654","0.8%","±0.1","1,894","±364","1.3%","±0.2","934","±323","1.3%","±0.5","716","±211","1.0%","±0.3"
"        No telephone service available","6,771","±541","1.2%","±0.1","49,054","±1,492","1.5%","±0.1","763","±184","0.9%","±0.2","12,750","±899","1.2%","±0.1","14,938","±922","2.0%","±0.1","15,134","±963","1.3%","±0.1","1,710","±311","1.2%","±0.2","1,049","±244","1.5%","±0.3","1,203","±280","1.6%","±0.4"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        1.00 or less","527,938","±2,072","92.1%","±0.3","2,958,298","±6,524","88.8%","±0.1","74,365","±797","91.5%","±0.7","948,128","±3,140","91.2%","±0.2","684,383","±2,768","92.9%","±0.2","1,053,517","±3,722","93.2%","±0.2","132,975","±1,301","89.7%","±0.6","68,664","±724","96.9%","±0.4","70,278","±720","94.2%","±0.7"
"        1.01 to 1.50","29,223","±1,364","5.1%","±0.2","216,688","±3,185","6.5%","±0.1","5,155","±478","6.3%","±0.6","58,296","±2,150","5.6%","±0.2","36,475","±1,393","5.0%","±0.2","51,003","±1,667","4.5%","±0.1","9,610","±739","6.5%","±0.5","1,544","±244","2.2%","±0.3","3,185","±457","4.3%","±0.6"
"        1.51 or more","16,013","±815","2.8%","±0.1","157,518","±2,923","4.7%","±0.1","1,786","±304","2.2%","±0.4","33,577","±1,333","3.2%","±0.1","15,555","±1,085","2.1%","±0.1","26,183","±1,405","2.3%","±0.1","5,724","±552","3.9%","±0.4","637","±199","0.9%","±0.3","1,151","±328","1.5%","±0.4"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","307,281","±2,762","307,281","(X)","1,534,472","±9,202","1,534,472","(X)","42,480","±1,084","42,480","(X)","595,228","±4,505","595,228","(X)","497,259","±3,864","497,259","(X)","609,350","±5,331","609,350","(X)","77,504","±1,415","77,504","(X)","46,238","±766","46,238","(X)","38,280","±984","38,280","(X)"
"        Less than $50,000","3,531","±421","1.1%","±0.1","28,868","±1,368","1.9%","±0.1","2,255","±436","5.3%","±1.0","10,277","±818","1.7%","±0.1","23,203","±1,202","4.7%","±0.2","14,377","±1,130","2.4%","±0.2","1,641","±293","2.1%","±0.4","3,293","±365","7.1%","±0.8","1,264","±251","3.3%","±0.6"
"        $50,000 to $99,999","2,773","±317","0.9%","±0.1","19,433","±1,027","1.3%","±0.1","1,469","±330","3.5%","±0.8","10,016","±689","1.7%","±0.1","14,213","±871","2.9%","±0.2","10,872","±788","1.8%","±0.1","1,196","±233","1.5%","±0.3","1,769","±402","3.8%","±0.9","529","±193","1.4%","±0.5"
"        $100,000 to $149,999","2,568","±390","0.8%","±0.1","13,060","±812","0.9%","±0.1","2,236","±364","5.3%","±0.8","5,466","±445","0.9%","±0.1","14,057","±844","2.8%","±0.2","7,767","±601","1.3%","±0.1","1,141","±193","1.5%","±0.2","3,117","±321","6.7%","±0.7","524","±169","1.4%","±0.4"
"        $150,000 to $199,999","2,415","±384","0.8%","±0.1","15,100","±908","1.0%","±0.1","5,569","±554","13.1%","±1.3","5,415","±476","0.9%","±0.1","24,767","±1,115","5.0%","±0.2","6,900","±622","1.1%","±0.1","949","±214","1.2%","±0.3","5,738","±481","12.4%","±1.0","822","±248","2.1%","±0.6"
"        $200,000 to $299,999","5,970","±497","1.9%","±0.2","66,975","±1,795","4.4%","±0.1","14,481","±815","34.1%","±1.7","15,116","±1,091","2.5%","±0.2","86,824","±2,520","17.5%","±0.4","25,448","±1,200","4.2%","±0.2","6,692","±554","8.6%","±0.7","13,827","±754","29.9%","±1.5","4,009","±455","10.5%","±1.1"
"        $300,000 to $499,999","31,338","±1,161","10.2%","±0.4","391,501","±4,396","25.5%","±0.2","12,264","±825","28.9%","±1.8","81,863","±2,054","13.8%","±0.3","221,800","±2,989","44.6%","±0.6","158,233","±3,308","26.0%","±0.5","22,249","±1,229","28.7%","±1.4","14,081","±677","30.5%","±1.3","14,699","±812","38.4%","±1.9"
"        $500,000 to $999,999","162,599","±2,398","52.9%","±0.6","720,586","±5,808","47.0%","±0.3","3,408","±376","8.0%","±0.9","350,989","±3,853","59.0%","±0.5","99,622","±2,037","20.0%","±0.4","303,351","±3,974","49.8%","±0.5","23,596","±908","30.4%","±1.0","3,824","±349","8.3%","±0.8","13,757","±685","35.9%","±1.7"
"        $1,000,000 or more","96,087","±1,702","31.3%","±0.5","278,949","±3,222","18.2%","±0.2","798","±192","1.9%","±0.4","116,086","±2,206","19.5%","±0.4","12,773","±792","2.6%","±0.2","82,402","±2,082","13.5%","±0.3","20,040","±804","25.9%","±1.0","589","±138","1.3%","±0.3","2,676","±323","7.0%","±0.8"
"        Median (dollars)","825,300","±4,462","(X)","(X)","615,500","±1,605","(X)","(X)","268,800","±4,864","(X)","(X)","703,800","±2,560","(X)","(X)","368,100","±1,745","(X)","(X)","595,600","±2,794","(X)","(X)","610,300","±18,043","(X)","(X)","261,000","±5,374","(X)","(X)","456,800","±8,682","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","307,281","±2,762","307,281","(X)","1,534,472","±9,202","1,534,472","(X)","42,480","±1,084","42,480","(X)","595,228","±4,505","595,228","(X)","497,259","±3,864","497,259","(X)","609,350","±5,331","609,350","(X)","77,504","±1,415","77,504","(X)","46,238","±766","46,238","(X)","38,280","±984","38,280","(X)"
"        Housing units with a mortgage","223,180","±2,730","72.6%","±0.6","1,081,570","±6,463","70.5%","±0.2","27,033","±960","63.6%","±1.7","416,650","±4,065","70.0%","±0.5","347,770","±3,880","69.9%","±0.5","434,507","±4,665","71.3%","±0.4","50,364","±1,247","65.0%","±1.0","28,268","±809","61.1%","±1.5","26,177","±990","68.4%","±1.8"
"        Housing units without a mortgage","84,101","±1,816","27.4%","±0.6","452,902","±5,101","29.5%","±0.2","15,447","±870","36.4%","±1.7","178,578","±3,185","30.0%","±0.5","149,489","±2,654","30.1%","±0.5","174,843","±2,878","28.7%","±0.4","27,140","±930","35.0%","±1.0","17,970","±801","38.9%","±1.5","12,103","±747","31.6%","±1.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","223,180","±2,730","223,180","(X)","1,081,570","±6,463","1,081,570","(X)","27,033","±960","27,033","(X)","416,650","±4,065","416,650","(X)","347,770","±3,880","347,770","(X)","434,507","±4,665","434,507","(X)","50,364","±1,247","50,364","(X)","28,268","±809","28,268","(X)","26,177","±990","26,177","(X)"
"        Less than $500","655","±182","0.3%","±0.1","3,657","±418","0.3%","±0.1","159","±68","0.6%","±0.2","1,667","±334","0.4%","±0.1","1,891","±289","0.5%","±0.1","1,896","±518","0.4%","±0.1","290","±101","0.6%","±0.2","207","±84","0.7%","±0.3","28","±28","0.1%","±0.1"
"        $500 to $999","4,006","±411","1.8%","±0.2","32,222","±1,256","3.0%","±0.1","3,940","±473","14.6%","±1.7","10,357","±693","2.5%","±0.2","19,225","±934","5.5%","±0.3","12,663","±881","2.9%","±0.2","1,869","±247","3.7%","±0.5","3,323","±368","11.8%","±1.2","1,023","±223","3.9%","±0.9"
"        $1,000 to $1,499","12,489","±852","5.6%","±0.4","101,088","±2,103","9.3%","±0.2","8,817","±609","32.6%","±2.0","28,235","±1,219","6.8%","±0.3","60,307","±1,918","17.3%","±0.5","36,024","±1,299","8.3%","±0.3","5,594","±505","11.1%","±1.0","8,405","±648","29.7%","±2.1","3,690","±488","14.1%","±1.7"
"        $1,500 to $1,999","22,944","±926","10.3%","±0.4","179,357","±3,038","16.6%","±0.3","7,124","±735","26.4%","±2.5","53,387","±1,368","12.8%","±0.3","81,428","±2,397","23.4%","±0.6","64,125","±1,896","14.8%","±0.4","9,177","±666","18.2%","±1.3","7,853","±654","27.8%","±2.0","5,222","±459","19.9%","±1.6"
"        $2,000 to $2,499","32,603","±1,183","14.6%","±0.5","194,646","±3,265","18.0%","±0.3","3,945","±556","14.6%","±1.9","68,239","±2,059","16.4%","±0.4","71,042","±2,104","20.4%","±0.6","78,828","±2,423","18.1%","±0.5","9,222","±769","18.3%","±1.4","4,228","±410","15.0%","±1.4","5,891","±559","22.5%","±2.1"
"        $2,500 to $2,999","35,741","±1,084","16.0%","±0.4","172,503","±2,891","15.9%","±0.2","1,660","±286","6.1%","±1.0","68,954","±1,737","16.5%","±0.4","53,538","±1,818","15.4%","±0.5","77,691","±2,325","17.9%","±0.5","6,673","±548","13.2%","±1.1","2,172","±365","7.7%","±1.3","3,955","±409","15.1%","±1.4"
"        $3,000 or more","114,742","±2,111","51.4%","±0.6","398,097","±4,286","36.8%","±0.3","1,388","±241","5.1%","±0.9","185,811","±2,884","44.6%","±0.5","60,339","±1,734","17.4%","±0.5","163,280","±3,332","37.6%","±0.7","17,539","±886","34.8%","±1.4","2,080","±259","7.4%","±0.9","6,368","±518","24.3%","±1.8"
"        Median (dollars)","3,052","±23","(X)","(X)","2,586","±10","(X)","(X)","1,536","±32","(X)","(X)","2,837","±15","(X)","(X)","2,078","±14","(X)","(X)","2,653","±14","(X)","(X)","2,447","±39","(X)","(X)","1,615","±25","(X)","(X)","2,265","±40","(X)","(X)"
"    Housing units without a mortgage","84,101","±1,816","84,101","(X)","452,902","±5,101","452,902","(X)","15,447","±870","15,447","(X)","178,578","±3,185","178,578","(X)","149,489","±2,654","149,489","(X)","174,843","±2,878","174,843","(X)","27,140","±930","27,140","(X)","17,970","±801","17,970","(X)","12,103","±747","12,103","(X)"
"        Less than $250","3,721","±407","4.4%","±0.5","29,955","±1,100","6.6%","±0.2","1,575","±255","10.2%","±1.6","12,822","±791","7.2%","±0.4","14,330","±928","9.6%","±0.6","15,132","±1,002","8.7%","±0.6","2,036","±331","7.5%","±1.1","1,769","±312","9.8%","±1.7","743","±197","6.1%","±1.5"
"        $250 to $399","9,056","±616","10.8%","±0.7","67,913","±1,677","15.0%","±0.3","4,180","±578","27.1%","±3.2","24,080","±947","13.5%","±0.5","24,055","±1,258","16.1%","±0.8","23,731","±1,033","13.6%","±0.6","3,488","±395","12.9%","±1.4","3,929","±430","21.9%","±2.1","1,820","±253","15.0%","±2.1"
"        $400 to $599","17,415","±869","20.7%","±1.0","111,214","±2,341","24.6%","±0.4","4,678","±543","30.3%","±3.2","38,181","±1,490","21.4%","±0.7","39,216","±1,238","26.2%","±0.7","41,138","±1,369","23.5%","±0.7","6,401","±479","23.6%","±1.8","5,767","±478","32.1%","±2.3","3,322","±366","27.4%","±2.5"
"        $600 to $799","17,201","±1,078","20.5%","±1.1","87,522","±2,239","19.3%","±0.5","3,156","±447","20.4%","±2.6","35,154","±1,539","19.7%","±0.8","31,333","±1,348","21.0%","±0.8","32,880","±1,366","18.8%","±0.7","5,014","±504","18.5%","±1.7","3,589","±391","20.0%","±1.9","2,448","±301","20.2%","±2.1"
"        $800 to $999","13,667","±847","16.3%","±0.9","56,122","±1,812","12.4%","±0.4","1,069","±261","6.9%","±1.6","25,260","±1,289","14.1%","±0.7","18,578","±934","12.4%","±0.6","23,866","±1,189","13.6%","±0.6","3,711","±408","13.7%","±1.4","1,481","±204","8.2%","±1.1","1,952","±332","16.1%","±2.4"
"        $1,000 or more","23,041","±975","27.4%","±1.1","100,176","±2,167","22.1%","±0.4","789","±157","5.1%","±1.0","43,081","±1,722","24.1%","±0.8","21,977","±1,012","14.7%","±0.6","38,096","±1,686","21.8%","±0.8","6,490","±527","23.9%","±1.8","1,435","±393","8.0%","±2.1","1,818","±295","15.0%","±2.3"
"        Median (dollars)","734","±13","(X)","(X)","637","±5","(X)","(X)","473","±18","(X)","(X)","677","±9","(X)","(X)","586","±7","(X)","(X)","642","±8","(X)","(X)","662","±21","(X)","(X)","508","±18","(X)","(X)","612","±22","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","222,417","±2,741","222,417","(X)","1,074,595","±6,477","1,074,595","(X)","26,910","±962","26,910","(X)","414,700","±4,034","414,700","(X)","344,447","±3,876","344,447","(X)","432,215","±4,721","432,215","(X)","50,225","±1,239","50,225","(X)","28,182","±815","28,182","(X)","26,112","±997","26,112","(X)"
"        Less than 20.0 percent","83,354","±1,936","37.5%","±0.7","327,470","±4,175","30.5%","±0.3","10,752","±673","40.0%","±2.2","142,204","±2,552","34.3%","±0.5","111,709","±2,843","32.4%","±0.7","138,144","±3,020","32.0%","±0.6","16,786","±852","33.4%","±1.5","10,958","±698","38.9%","±2.1","10,693","±665","41.0%","±2.3"
"        20.0 to 24.9 percent","38,110","±1,244","17.1%","±0.6","154,343","±2,993","14.4%","±0.3","4,181","±489","15.5%","±1.7","62,357","±2,003","15.0%","±0.4","53,633","±1,805","15.6%","±0.5","69,927","±1,980","16.2%","±0.4","8,505","±651","16.9%","±1.2","3,856","±379","13.7%","±1.2","4,742","±444","18.2%","±1.7"
"        25.0 to 29.9 percent","26,548","±1,028","11.9%","±0.4","126,755","±2,479","11.8%","±0.2","3,068","±415","11.4%","±1.5","50,028","±1,579","12.1%","±0.4","43,474","±1,850","12.6%","±0.5","56,895","±1,837","13.2%","±0.4","6,130","±595","12.2%","±1.2","2,843","±313","10.1%","±1.1","2,954","±404","11.3%","±1.5"
"        30.0 to 34.9 percent","19,050","±917","8.6%","±0.4","98,311","±2,080","9.1%","±0.2","2,131","±292","7.9%","±1.0","38,925","±1,440","9.4%","±0.3","29,217","±1,335","8.5%","±0.4","38,151","±1,355","8.8%","±0.3","4,139","±474","8.2%","±0.9","2,341","±396","8.3%","±1.4","2,014","±378","7.7%","±1.3"
"        35.0 percent or more","55,355","±1,557","24.9%","±0.6","367,716","±3,978","34.2%","±0.3","6,778","±575","25.2%","±1.9","121,186","±2,423","29.2%","±0.5","106,414","±2,547","30.9%","±0.6","129,098","±2,660","29.9%","±0.5","14,665","±862","29.2%","±1.5","8,184","±632","29.0%","±2.2","5,709","±557","21.9%","±1.8"
"        Not computed","763","±212","(X)","(X)","6,975","±637","(X)","(X)","123","±81","(X)","(X)","1,950","±266","(X)","(X)","3,323","±469","(X)","(X)","2,292","±452","(X)","(X)","139","±75","(X)","(X)","86","±41","(X)","(X)","65","±55","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","82,861","±1,828","82,861","(X)","446,063","±5,081","446,063","(X)","15,324","±869","15,324","(X)","176,230","±3,119","176,230","(X)","146,276","±2,693","146,276","(X)","172,314","±2,897","172,314","(X)","26,894","±914","26,894","(X)","17,747","±795","17,747","(X)","12,036","±750","12,036","(X)"
"        Less than 10.0 percent","41,786","±1,426","50.4%","±1.2","206,468","±3,394","46.3%","±0.5","7,140","±497","46.6%","±2.8","89,483","±2,519","50.8%","±1.0","61,355","±1,870","41.9%","±1.1","82,424","±1,897","47.8%","±1.0","13,035","±724","48.5%","±1.9","6,862","±472","38.7%","±2.4","6,801","±584","56.5%","±3.6"
"        10.0 to 14.9 percent","13,980","±702","16.9%","±0.8","76,269","±2,326","17.1%","±0.5","2,704","±442","17.6%","±2.3","28,782","±1,138","16.3%","±0.6","25,282","±1,248","17.3%","±0.8","27,937","±1,152","16.2%","±0.6","4,112","±373","15.3%","±1.3","3,013","±314","17.0%","±1.6","1,719","±406","14.3%","±3.1"
"        15.0 to 19.9 percent","7,239","±519","8.7%","±0.6","43,771","±1,553","9.8%","±0.3","1,734","±359","11.3%","±2.3","15,299","±810","8.7%","±0.5","15,840","±994","10.8%","±0.6","17,618","±1,066","10.2%","±0.6","2,729","±369","10.1%","±1.4","2,164","±259","12.2%","±1.4","1,039","±211","8.6%","±1.7"
"        20.0 to 24.9 percent","4,803","±463","5.8%","±0.5","28,136","±1,282","6.3%","±0.3","1,351","±367","8.8%","±2.3","10,379","±795","5.9%","±0.4","9,982","±888","6.8%","±0.6","10,465","±814","6.1%","±0.5","1,269","±254","4.7%","±0.9","1,237","±224","7.0%","±1.2","684","±166","5.7%","±1.4"
"        25.0 to 29.9 percent","3,406","±463","4.1%","±0.5","18,979","±985","4.3%","±0.2","592","±161","3.9%","±1.0","6,565","±751","3.7%","±0.4","7,071","±607","4.8%","±0.4","7,936","±697","4.6%","±0.4","1,203","±251","4.5%","±1.0","1,161","±229","6.5%","±1.2","508","±133","4.2%","±1.1"
"        30.0 to 34.9 percent","2,354","±264","2.8%","±0.3","14,091","±948","3.2%","±0.2","275","±98","1.8%","±0.6","4,982","±577","2.8%","±0.3","5,205","±622","3.6%","±0.4","4,849","±393","2.8%","±0.2","834","±196","3.1%","±0.7","512","±133","2.9%","±0.8","216","±92","1.8%","±0.8"
"        35.0 percent or more","9,293","±806","11.2%","±0.9","58,349","±1,676","13.1%","±0.4","1,528","±386","10.0%","±2.5","20,740","±1,087","11.8%","±0.6","21,541","±1,151","14.7%","±0.7","21,085","±1,289","12.2%","±0.7","3,712","±452","13.8%","±1.6","2,798","±492","15.8%","±2.5","1,069","±221","8.9%","±1.7"
"        Not computed","1,240","±325","(X)","(X)","6,839","±552","(X)","(X)","123","±71","(X)","(X)","2,348","±414","(X)","(X)","3,213","±522","(X)","(X)","2,529","±512","(X)","(X)","246","±83","(X)","(X)","223","±98","(X)","(X)","67","±41","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","258,874","±2,829","258,874","(X)","1,751,439","±6,870","1,751,439","(X)","35,916","±982","35,916","(X)","434,099","±3,944","434,099","(X)","230,553","±3,505","230,553","(X)","508,535","±4,734","508,535","(X)","68,260","±1,402","68,260","(X)","23,779","±922","23,779","(X)","34,891","±1,166","34,891","(X)"
"        Less than $500","13,406","±975","5.2%","±0.4","78,101","±2,023","4.5%","±0.1","2,102","±262","5.9%","±0.8","12,365","±907","2.8%","±0.2","8,380","±723","3.6%","±0.3","16,605","±924","3.3%","±0.2","2,476","±361","3.6%","±0.5","1,599","±332","6.7%","±1.4","1,765","±335","5.1%","±0.9"
"        $500 to $999","21,682","±1,053","8.4%","±0.4","223,123","±3,436","12.7%","±0.2","14,047","±773","39.1%","±1.9","17,983","±1,257","4.1%","±0.3","41,757","±1,445","18.1%","±0.6","39,704","±1,703","7.8%","±0.3","7,713","±787","11.3%","±1.2","8,730","±656","36.7%","±2.5","7,389","±654","21.2%","±1.7"
"        $1,000 to $1,499","47,096","±1,490","18.2%","±0.6","544,078","±4,657","31.1%","±0.2","13,748","±826","38.3%","±2.0","74,035","±2,202","17.1%","±0.5","72,502","±2,241","31.4%","±0.8","129,826","±2,788","25.5%","±0.5","16,757","±1,016","24.5%","±1.5","8,654","±727","36.4%","±2.6","11,179","±671","32.0%","±2.0"
"        $1,500 to $1,999","58,477","±1,415","22.6%","±0.5","443,379","±4,295","25.3%","±0.2","4,917","±527","13.7%","±1.4","131,726","±2,640","30.3%","±0.6","60,205","±1,747","26.1%","±0.7","146,877","±3,121","28.9%","±0.5","18,200","±993","26.7%","±1.3","3,196","±422","13.4%","±1.8","8,033","±720","23.0%","±1.8"
"        $2,000 to $2,499","51,305","±1,631","19.8%","±0.6","236,205","±3,702","13.5%","±0.2","803","±239","2.2%","±0.7","100,021","±2,401","23.0%","±0.5","29,802","±1,548","12.9%","±0.6","90,131","±2,620","17.7%","±0.5","11,327","±953","16.6%","±1.4","1,124","±299","4.7%","±1.2","4,447","±493","12.7%","±1.4"
"        $2,500 to $2,999","33,374","±1,227","12.9%","±0.5","114,397","±2,744","6.5%","±0.2","145","±87","0.4%","±0.2","50,935","±1,902","11.7%","±0.4","11,543","±1,031","5.0%","±0.4","46,247","±1,586","9.1%","±0.3","5,821","±589","8.5%","±0.8","273","±132","1.1%","±0.6","1,237","±316","3.5%","±0.9"
"        $3,000 or more","33,534","±1,467","13.0%","±0.5","112,156","±2,483","6.4%","±0.1","154","±95","0.4%","±0.3","47,034","±1,867","10.8%","±0.4","6,364","±828","2.8%","±0.3","39,145","±1,823","7.7%","±0.3","5,966","±622","8.7%","±0.9","203","±153","0.9%","±0.6","841","±187","2.4%","±0.5"
"        Median (dollars)","1,904","±16","(X)","(X)","1,534","±5","(X)","(X)","1,054","±19","(X)","(X)","1,928","±9","(X)","(X)","1,447","±11","(X)","(X)","1,732","±8","(X)","(X)","1,697","±25","(X)","(X)","1,075","±25","(X)","(X)","1,369","±30","(X)","(X)"
"        No rent paid","7,019","±651","(X)","(X)","46,593","±2,016","(X)","(X)","2,910","±455","(X)","(X)","10,674","±928","(X)","(X)","8,601","±812","(X)","(X)","12,818","±817","(X)","(X)","2,545","±436","(X)","(X)","828","±187","(X)","(X)","1,443","±252","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","254,684","±2,800","254,684","(X)","1,712,756","±6,672","1,712,756","(X)","35,346","±955","35,346","(X)","424,436","±3,742","424,436","(X)","225,518","±3,462","225,518","(X)","500,442","±4,533","500,442","(X)","67,140","±1,414","67,140","(X)","23,110","±880","23,110","(X)","33,569","±1,165","33,569","(X)"
"        Less than 15.0 percent","31,461","±1,430","12.4%","±0.5","163,918","±3,272","9.6%","±0.2","4,586","±553","13.0%","±1.5","36,931","±1,852","8.7%","±0.4","18,855","±1,166","8.4%","±0.5","41,696","±1,909","8.3%","±0.4","5,798","±706","8.6%","±1.1","2,428","±339","10.5%","±1.4","3,450","±540","10.3%","±1.6"
"        15.0 to 19.9 percent","34,243","±1,180","13.4%","±0.5","179,301","±3,296","10.5%","±0.2","4,787","±555","13.5%","±1.5","45,675","±1,907","10.8%","±0.4","24,289","±1,131","10.8%","±0.5","55,968","±2,181","11.2%","±0.4","7,350","±728","10.9%","±1.0","2,719","±381","11.8%","±1.6","3,964","±534","11.8%","±1.6"
"        20.0 to 24.9 percent","34,695","±1,214","13.6%","±0.5","198,657","±3,700","11.6%","±0.2","4,417","±488","12.5%","±1.3","54,067","±2,000","12.7%","±0.5","26,673","±1,290","11.8%","±0.5","61,312","±1,896","12.3%","±0.4","8,277","±650","12.3%","±1.0","3,107","±420","13.4%","±1.8","3,803","±416","11.3%","±1.2"
"        25.0 to 29.9 percent","31,121","±1,396","12.2%","±0.5","192,833","±3,518","11.3%","±0.2","4,474","±582","12.7%","±1.6","50,497","±1,767","11.9%","±0.4","24,107","±1,090","10.7%","±0.5","59,560","±1,829","11.9%","±0.3","8,177","±787","12.2%","±1.1","2,749","±374","11.9%","±1.6","4,812","±663","14.3%","±1.9"
"        30.0 to 34.9 percent","22,644","±1,179","8.9%","±0.4","161,892","±2,996","9.5%","±0.2","3,384","±440","9.6%","±1.2","42,415","±1,772","10.0%","±0.4","22,124","±1,371","9.8%","±0.6","48,722","±2,051","9.7%","±0.4","7,008","±604","10.4%","±0.9","2,071","±368","9.0%","±1.5","3,079","±473","9.2%","±1.4"
"        35.0 percent or more","100,520","±1,962","39.5%","±0.7","816,155","±6,030","47.7%","±0.3","13,698","±739","38.8%","±2.0","194,851","±3,065","45.9%","±0.7","109,470","±2,624","48.5%","±0.8","233,184","±4,013","46.6%","±0.7","30,530","±1,193","45.5%","±1.5","10,036","±670","43.4%","±2.5","14,461","±911","43.1%","±2.2"
"        Not computed","11,209","±812","(X)","(X)","85,276","±2,633","(X)","(X)","3,480","±523","(X)","(X)","20,337","±1,371","(X)","(X)","13,636","±1,056","(X)","(X)","20,911","±1,290","(X)","(X)","3,665","±514","(X)","(X)","1,497","±288","(X)","(X)","2,765","±404","(X)","(X)"
