"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    Lacking complete plumbing facilities","2,660","±889","0.5%","±0.2","13,967","±1,743","0.4%","±0.1","67","±82","0.1%","±0.1","1,740","±632","0.2%","±0.1","1,996","±630","0.3%","±0.1","2,585","±953","0.2%","±0.1","574","±302","0.4%","±0.2","330","±248","0.4%","±0.3","182","±232","0.3%","±0.3"
"    Lacking complete kitchen facilities","5,501","±1,461","1.0%","±0.3","47,426","±3,000","1.5%","±0.1","235","±201","0.3%","±0.3","11,872","±1,935","1.2%","±0.2","5,812","±1,357","0.8%","±0.2","6,969","±1,332","0.6%","±0.1","1,851","±656","1.3%","±0.5","577","±394","0.6%","±0.4","378","±245","0.5%","±0.3"
"    No telephone service available","8,617","±1,225","1.6%","±0.2","67,029","±3,803","2.1%","±0.1","1,221","±435","1.6%","±0.6","16,290","±1,712","1.6%","±0.2","11,975","±1,573","1.7%","±0.2","32,408","±3,273","3.0%","±0.3","2,986","±774","2.1%","±0.5","1,123","±391","1.2%","±0.4","1,956","±655","2.7%","±0.9"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    1.00 or less","515,226","±3,844","94.0%","±0.5","2,847,263","±10,423","88.1%","±0.2","70,472","±1,952","92.2%","±1.1","906,386","±5,998","91.1%","±0.4","631,694","±6,082","92.2%","±0.5","1,012,227","±6,144","93.8%","±0.4","128,283","±2,364","90.6%","±1.1","89,065","±2,087","95.5%","±1.1","67,972","±1,505","95.0%","±1.5"
"    1.01 to 1.50","21,810","±2,542","4.0%","±0.5","231,966","±6,770","7.2%","±0.2","4,266","±791","5.6%","±1.0","58,412","±3,837","5.9%","±0.4","39,311","±2,886","5.7%","±0.4","44,538","±3,394","4.1%","±0.3","8,032","±1,355","5.7%","±1.0","2,547","±748","2.7%","±0.8","2,611","±888","3.6%","±1.2"
"    1.51 or more","11,238","±1,547","2.0%","±0.3","152,431","±5,198","4.7%","±0.2","1,713","±538","2.2%","±0.7","30,570","±2,700","3.1%","±0.3","14,255","±1,900","2.1%","±0.3","22,888","±2,466","2.1%","±0.2","5,324","±957","3.8%","±0.7","1,641","±648","1.8%","±0.7","985","±586","1.4%","±0.8"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","286,205","±5,284","286,205","(X)","1,481,122","±11,896","1,481,122","(X)","40,931","±2,532","40,931","(X)","565,956","±6,120","565,956","(X)","442,164","±7,580","442,164","(X)","573,530","±6,642","573,530","(X)","73,176","±2,449","73,176","(X)","52,900","±2,407","52,900","(X)","35,683","±1,960","35,683","(X)"
"    Less than $50,000","6,177","±924","2.2%","±0.3","38,031","±2,239","2.6%","±0.1","2,402","±635","5.9%","±1.5","15,138","±1,583","2.7%","±0.3","33,292","±2,191","7.5%","±0.5","22,935","±1,991","4.0%","±0.3","2,917","±669","4.0%","±0.9","1,110","±502","2.1%","±1.0","2,006","±717","5.6%","±1.9"
"    $50,000 to $99,999","6,154","±966","2.2%","±0.3","32,396","±1,988","2.2%","±0.1","9,198","±919","22.5%","±2.1","11,853","±1,647","2.1%","±0.3","32,961","±2,090","7.5%","±0.5","15,530","±1,887","2.7%","±0.3","3,331","±872","4.6%","±1.2","1,211","±475","2.3%","±0.9","825","±364","2.3%","±1.0"
"    $100,000 to $149,999","8,534","±1,215","3.0%","±0.4","46,256","±2,739","3.1%","±0.2","10,988","±1,551","26.8%","±3.4","11,096","±1,324","2.0%","±0.2","55,540","±3,170","12.6%","±0.7","18,095","±1,803","3.2%","±0.3","2,075","±580","2.8%","±0.8","1,248","±525","2.4%","±1.0","2,797","±826","7.8%","±2.2"
"    $150,000 to $199,999","11,849","±1,712","4.1%","±0.6","73,390","±3,111","5.0%","±0.2","6,035","±1,210","14.7%","±2.7","16,109","±2,004","2.8%","±0.4","74,121","±3,907","16.8%","±0.8","27,883","±2,234","4.9%","±0.4","6,211","±1,165","8.5%","±1.5","830","±396","1.6%","±0.7","4,654","±1,031","13.0%","±2.8"
"    $200,000 to $299,999","33,743","±2,974","11.8%","±1.0","249,031","±6,931","16.8%","±0.5","6,629","±1,079","16.2%","±2.5","49,560","±3,129","8.8%","±0.5","115,994","±5,557","26.2%","±1.1","90,747","±4,027","15.8%","±0.7","12,764","±1,594","17.4%","±2.1","4,933","±980","9.3%","±1.8","9,160","±1,281","25.7%","±3.2"
"    $300,000 to $499,999","87,704","±3,703","30.6%","±1.1","509,395","±9,464","34.4%","±0.5","3,875","±829","9.5%","±2.0","186,586","±5,745","33.0%","±0.9","97,482","±4,025","22.0%","±0.9","217,933","±5,235","38.0%","±0.8","13,484","±1,384","18.4%","±1.7","13,998","±1,639","26.5%","±2.8","8,768","±1,174","24.6%","±3.1"
"    $500,000 to $999,999","111,208","±3,500","38.9%","±1.2","401,203","±7,556","27.1%","±0.5","783","±351","1.9%","±0.8","227,132","±5,175","40.1%","±0.9","27,857","±2,540","6.3%","±0.6","146,541","±5,287","25.6%","±0.8","21,540","±1,875","29.4%","±2.5","25,285","±1,690","47.8%","±2.7","6,706","±833","18.8%","±2.4"
"    $1,000,000 or more","20,836","±1,763","7.3%","±0.6","131,420","±4,226","8.9%","±0.3","1,021","±375","2.5%","±0.9","48,482","±3,505","8.6%","±0.6","4,917","±983","1.1%","±0.2","33,866","±2,687","5.9%","±0.5","10,854","±1,154","14.8%","±1.6","4,285","±942","8.1%","±1.7","767","±377","2.1%","±1.1"
"    Median (dollars)","472,900","±8,290","(X)","(X)","399,500","±3,194","(X)","(X)","138,100","±7,247","(X)","(X)","492,200","±5,104","(X)","(X)","220,000","±3,775","(X)","(X)","386,400","±3,606","(X)","(X)","409,700","±36,291","(X)","(X)","545,700","±18,950","(X)","(X)","280,800","±14,322","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","286,205","±5,284","286,205","(X)","1,481,122","±11,896","1,481,122","(X)","40,931","±2,532","40,931","(X)","565,956","±6,120","565,956","(X)","442,164","±7,580","442,164","(X)","573,530","±6,642","573,530","(X)","73,176","±2,449","73,176","(X)","52,900","±2,407","52,900","(X)","35,683","±1,960","35,683","(X)"
"    Housing units with a mortgage","216,631","±5,040","75.7%","±0.9","1,121,835","±11,313","75.7%","±0.4","30,195","±2,247","73.8%","±2.7","421,483","±6,179","74.5%","±0.7","325,771","±7,640","73.7%","±0.9","429,578","±7,221","74.9%","±0.7","49,835","±2,294","68.1%","±2.2","38,681","±2,537","73.1%","±2.7","25,818","±1,717","72.4%","±2.9"
"    Housing units without a mortgage","69,574","±2,779","24.3%","±0.9","359,287","±6,574","24.3%","±0.4","10,736","±1,221","26.2%","±2.7","144,473","±4,170","25.5%","±0.7","116,393","±4,057","26.3%","±0.9","143,952","±4,180","25.1%","±0.7","23,341","±1,847","31.9%","±2.2","14,219","±1,393","26.9%","±2.7","9,865","±1,178","27.6%","±2.9"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","216,631","±5,040","216,631","(X)","1,121,835","±11,313","1,121,835","(X)","30,195","±2,247","30,195","(X)","421,483","±6,179","421,483","(X)","325,771","±7,640","325,771","(X)","429,578","±7,221","429,578","(X)","49,835","±2,294","49,835","(X)","38,681","±2,537","38,681","(X)","25,818","±1,717","25,818","(X)"
"    Less than $300","203","±157","0.1%","±0.1","554","±319","0.0%","±0.1","21","±35","0.1%","±0.1","289","±180","0.1%","±0.1","554","±284","0.2%","±0.1","211","±165","0.0%","±0.1","38","±61","0.1%","±0.1","74","±91","0.2%","±0.2","76","±127","0.3%","±0.5"
"    $300 to $499","992","±337","0.5%","±0.2","5,313","±967","0.5%","±0.1","170","±138","0.6%","±0.5","1,841","±653","0.4%","±0.2","2,425","±570","0.7%","±0.2","2,164","±656","0.5%","±0.2","446","±279","0.9%","±0.6","255","±153","0.7%","±0.4","73","±126","0.3%","±0.5"
"    $500 to $699","2,065","±548","1.0%","±0.2","14,938","±1,461","1.3%","±0.1","1,500","±534","5.0%","±1.7","4,428","±787","1.1%","±0.2","6,905","±1,156","2.1%","±0.4","5,952","±960","1.4%","±0.2","1,069","±400","2.1%","±0.8","593","±521","1.5%","±1.3","365","±214","1.4%","±0.8"
"    $700 to $999","5,689","±964","2.6%","±0.4","43,334","±3,170","3.9%","±0.3","5,277","±1,241","17.5%","±3.7","12,865","±1,442","3.1%","±0.3","27,234","±2,375","8.4%","±0.7","16,925","±1,822","3.9%","±0.4","2,268","±560","4.6%","±1.1","1,515","±649","3.9%","±1.7","1,351","±508","5.2%","±1.9"
"    $1,000 to $1,499","23,533","±1,807","10.9%","±0.8","160,647","±5,380","14.3%","±0.5","10,908","±1,492","36.1%","±4.3","43,333","±3,068","10.3%","±0.7","73,779","±3,949","22.6%","±1.1","60,248","±3,790","14.0%","±0.9","7,710","±1,034","15.5%","±2.0","4,110","±958","10.6%","±2.3","6,440","±1,113","24.9%","±3.7"
"    $1,500 to $1,999","36,680","±2,646","16.9%","±1.2","230,072","±5,727","20.5%","±0.5","6,799","±1,168","22.5%","±3.4","73,107","±3,935","17.3%","±0.9","78,838","±4,042","24.2%","±1.1","84,619","±3,926","19.7%","±0.9","9,927","±1,305","19.9%","±2.4","5,654","±1,060","14.6%","±2.8","5,844","±977","22.6%","±3.4"
"    $2,000 or more","147,469","±4,409","68.1%","±1.2","666,977","±10,332","59.5%","±0.7","5,520","±1,109","18.3%","±3.7","285,620","±5,982","67.8%","±1.0","136,036","±4,870","41.8%","±1.1","259,459","±7,247","60.4%","±1.2","28,377","±1,988","56.9%","±3.0","26,480","±2,267","68.5%","±3.6","11,669","±1,332","45.2%","±4.8"
"    Median (dollars)","2,491","±38","(X)","(X)","2,249","±16","(X)","(X)","1,356","±60","(X)","(X)","2,486","±33","(X)","(X)","1,817","±25","(X)","(X)","2,282","±30","(X)","(X)","2,211","±87","(X)","(X)","2,482","±97","(X)","(X)","1,886","±107","(X)","(X)"
"    Housing units without a mortgage","69,574","±2,779","69,574","(X)","359,287","±6,574","359,287","(X)","10,736","±1,221","10,736","(X)","144,473","±4,170","144,473","(X)","116,393","±4,057","116,393","(X)","143,952","±4,180","143,952","(X)","23,341","±1,847","23,341","(X)","14,219","±1,393","14,219","(X)","9,865","±1,178","9,865","(X)"
"    Less than $100","427","±225","0.6%","±0.3","3,254","±611","0.9%","±0.2","209","±133","1.9%","±1.3","1,870","±544","1.3%","±0.4","2,834","±878","2.4%","±0.8","3,837","±848","2.7%","±0.6","558","±263","2.4%","±1.1","272","±136","1.9%","±0.9","502","±421","5.1%","±4.2"
"    $100 to $199","2,087","±605","3.0%","±0.8","18,909","±1,596","5.3%","±0.4","1,274","±486","11.9%","±4.2","7,180","±1,078","5.0%","±0.7","8,916","±1,152","7.7%","±0.9","9,258","±1,350","6.4%","±1.0","1,567","±595","6.7%","±2.5","505","±303","3.6%","±2.1","679","±304","6.9%","±3.1"
"    $200 to $299","7,895","±1,235","11.3%","±1.8","48,270","±2,920","13.4%","±0.8","2,256","±562","21.0%","±4.9","17,126","±1,886","11.9%","±1.3","16,850","±1,764","14.5%","±1.5","19,693","±1,805","13.7%","±1.2","3,065","±694","13.1%","±2.9","1,643","±526","11.6%","±3.5","1,353","±573","13.7%","±5.5"
"    $300 to $399","11,730","±1,458","16.9%","±2.0","58,507","±2,766","16.3%","±0.8","2,006","±667","18.7%","±5.4","21,250","±1,914","14.7%","±1.2","17,967","±1,774","15.4%","±1.4","21,306","±1,989","14.8%","±1.4","3,696","±758","15.8%","±2.9","2,006","±539","14.1%","±3.6","1,529","±441","15.5%","±4.3"
"    $400 or more","47,435","±2,673","68.2%","±2.5","230,347","±5,982","64.1%","±0.9","4,991","±898","46.5%","±6.9","97,047","±3,844","67.2%","±1.8","69,826","±3,383","60.0%","±2.0","89,858","±4,335","62.4%","±2.1","14,455","±1,395","61.9%","±3.7","9,793","±1,132","68.9%","±4.9","5,802","±972","58.8%","±6.2"
"    Median (dollars)","513","±18","(X)","(X)","489","±6","(X)","(X)","380","±38","(X)","(X)","520","±16","(X)","(X)","469","±13","(X)","(X)","486","±13","(X)","(X)","495","±30","(X)","(X)","517","±31","(X)","(X)","462","±45","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","215,674","±4,996","215,674","(X)","1,113,827","±11,439","1,113,827","(X)","30,155","±2,254","30,155","(X)","420,203","±6,121","420,203","(X)","323,399","±7,743","323,399","(X)","418,807","±7,127","418,807","(X)","49,719","±2,283","49,719","(X)","38,476","±2,515","38,476","(X)","25,778","±1,718","25,778","(X)"
"    Less than 20.0 percent","64,886","±3,089","30.1%","±1.3","261,511","±6,477","23.5%","±0.6","10,196","±1,610","33.8%","±4.5","111,800","±4,214","26.6%","±1.0","77,999","±4,289","24.1%","±1.2","101,782","±4,277","24.3%","±0.9","12,681","±1,418","25.5%","±2.8","9,210","±1,190","23.9%","±3.1","8,109","±1,207","31.5%","±4.2"
"    20.0 to 24.9 percent","35,497","±2,276","16.5%","±1.0","144,746","±4,369","13.0%","±0.4","4,733","±981","15.7%","±3.1","64,900","±3,788","15.4%","±0.9","50,142","±3,337","15.5%","±1.0","64,844","±3,820","15.5%","±0.9","8,208","±1,229","16.5%","±2.3","5,904","±1,141","15.3%","±2.7","4,454","±807","17.3%","±3.0"
"    25.0 to 29.9 percent","27,748","±2,122","12.9%","±1.0","135,897","±4,525","12.2%","±0.4","3,721","±899","12.3%","±3.1","53,336","±3,282","12.7%","±0.7","41,083","±3,290","12.7%","±1.0","51,895","±3,303","12.4%","±0.8","6,790","±1,177","13.7%","±2.3","5,159","±1,202","13.4%","±2.7","4,128","±1,082","16.0%","±4.0"
"    30.0 to 34.9 percent","20,931","±1,763","9.7%","±0.8","113,383","±5,073","10.2%","±0.4","2,724","±942","9.0%","±3.0","41,727","±3,126","9.9%","±0.7","31,844","±2,719","9.8%","±0.8","45,599","±3,537","10.9%","±0.8","3,738","±866","7.5%","±1.7","4,190","±1,070","10.9%","±2.7","2,229","±828","8.6%","±3.1"
"    35.0 percent or more","66,612","±3,258","30.9%","±1.3","458,290","±9,418","41.1%","±0.6","8,781","±1,431","29.1%","±4.0","148,440","±4,640","35.3%","±0.9","122,331","±5,887","37.8%","±1.5","154,687","±5,755","36.9%","±1.2","18,302","±1,892","36.8%","±3.2","14,013","±1,610","36.4%","±3.6","6,858","±1,110","26.6%","±3.8"
"    Not computed","957","±329","(X)","(X)","8,008","±1,532","(X)","(X)","40","±48","(X)","(X)","1,280","±551","(X)","(X)","2,372","±827","(X)","(X)","10,771","±2,223","(X)","(X)","116","±137","(X)","(X)","205","±207","(X)","(X)","40","±65","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","68,897","±2,782","68,897","(X)","352,950","±6,478","352,950","(X)","10,508","±1,184","10,508","(X)","143,115","±4,109","143,115","(X)","114,106","±3,916","114,106","(X)","142,239","±4,265","142,239","(X)","23,253","±1,823","23,253","(X)","14,074","±1,363","14,074","(X)","9,745","±1,174","9,745","(X)"
"    Less than 10.0 percent","31,915","±2,132","46.3%","±2.6","154,274","±5,032","43.7%","±1.2","4,437","±818","42.2%","±5.8","70,050","±3,231","48.9%","±1.8","38,293","±2,617","33.6%","±1.9","64,140","±2,937","45.1%","±1.8","10,774","±1,292","46.3%","±4.6","6,669","±934","47.4%","±4.9","4,885","±890","50.1%","±7.7"
"    10.0 to 14.9 percent","14,240","±1,366","20.7%","±1.8","64,167","±3,181","18.2%","±0.8","2,219","±604","21.1%","±5.4","23,485","±2,074","16.4%","±1.3","21,987","±1,986","19.3%","±1.5","25,409","±2,203","17.9%","±1.4","4,978","±1,045","21.4%","±3.7","2,385","±564","16.9%","±3.9","2,122","±679","21.8%","±6.2"
"    15.0 to 19.9 percent","6,560","±986","9.5%","±1.4","38,673","±2,542","11.0%","±0.7","1,573","±450","15.0%","±4.0","13,507","±1,342","9.4%","±0.9","14,108","±1,408","12.4%","±1.3","13,734","±1,461","9.7%","±1.0","2,211","±608","9.5%","±2.7","1,686","±550","12.0%","±3.7","480","±256","4.9%","±2.6"
"    20.0 to 24.9 percent","3,682","±780","5.3%","±1.1","22,005","±1,631","6.2%","±0.4","332","±210","3.2%","±2.0","9,609","±1,499","6.7%","±1.0","10,621","±1,700","9.3%","±1.4","9,310","±1,296","6.5%","±0.9","1,206","±495","5.2%","±2.1","604","±303","4.3%","±2.0","710","±318","7.3%","±3.1"
"    25.0 to 29.9 percent","2,830","±724","4.1%","±1.0","15,892","±1,633","4.5%","±0.5","97","±119","0.9%","±1.1","5,811","±1,216","4.1%","±0.8","6,743","±1,046","5.9%","±0.9","7,112","±1,224","5.0%","±0.8","627","±330","2.7%","±1.4","956","±466","6.8%","±3.2","492","±296","5.0%","±3.0"
"    30.0 to 34.9 percent","1,974","±606","2.9%","±0.9","12,102","±1,534","3.4%","±0.4","297","±248","2.8%","±2.3","3,676","±805","2.6%","±0.5","4,323","±1,014","3.8%","±0.9","4,305","±950","3.0%","±0.6","384","±207","1.7%","±0.9","297","±192","2.1%","±1.4","79","±100","0.8%","±1.0"
"    35.0 percent or more","7,696","±1,167","11.2%","±1.7","45,837","±3,051","13.0%","±0.8","1,553","±515","14.8%","±4.7","16,977","±1,547","11.9%","±1.0","18,031","±1,788","15.8%","±1.4","18,229","±1,815","12.8%","±1.2","3,073","±915","13.2%","±3.8","1,477","±577","10.5%","±3.8","977","±422","10.0%","±4.1"
"    Not computed","677","±460","(X)","(X)","6,337","±1,242","(X)","(X)","228","±183","(X)","(X)","1,358","±569","(X)","(X)","2,287","±694","(X)","(X)","1,713","±565","(X)","(X)","88","±94","(X)","(X)","145","±155","(X)","(X)","120","±122","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","255,615","±5,363","255,615","(X)","1,709,594","±12,439","1,709,594","(X)","32,990","±2,265","32,990","(X)","419,652","±6,227","419,652","(X)","233,885","±6,755","233,885","(X)","493,339","±7,247","493,339","(X)","66,588","±2,776","66,588","(X)","39,272","±2,490","39,272","(X)","34,933","±2,147","34,933","(X)"
"    Less than $200","1,977","±645","0.8%","±0.3","11,133","±1,403","0.7%","±0.1","359","±306","1.1%","±0.9","1,843","±714","0.4%","±0.2","1,262","±543","0.5%","±0.2","2,812","±786","0.6%","±0.2","949","±579","1.4%","±0.9","102","±147","0.3%","±0.4","183","±189","0.5%","±0.5"
"    $200 to $299","7,464","±1,277","2.9%","±0.5","35,994","±2,573","2.1%","±0.2","702","±332","2.1%","±1.0","5,801","±1,197","1.4%","±0.3","4,002","±950","1.7%","±0.4","7,705","±1,357","1.6%","±0.3","1,232","±533","1.9%","±0.8","739","±287","1.9%","±0.7","665","±404","1.9%","±1.2"
"    $300 to $499","10,512","±1,460","4.1%","±0.6","46,427","±2,926","2.7%","±0.2","3,113","±902","9.4%","±2.7","7,840","±1,344","1.9%","±0.3","8,062","±1,483","3.4%","±0.6","12,370","±1,378","2.5%","±0.3","1,481","±617","2.2%","±0.9","1,551","±571","3.9%","±1.4","2,298","±841","6.6%","±2.2"
"    $500 to $749","16,402","±1,887","6.4%","±0.7","150,076","±5,186","8.8%","±0.3","8,475","±1,324","25.7%","±3.9","10,936","±1,526","2.6%","±0.4","26,816","±2,426","11.5%","±1.0","26,354","±2,438","5.3%","±0.5","4,215","±913","6.3%","±1.3","2,133","±658","5.4%","±1.6","5,425","±1,188","15.5%","±3.4"
"    $750 to $999","38,856","±2,284","15.2%","±0.9","362,270","±8,108","21.2%","±0.5","10,298","±1,706","31.2%","±4.3","34,757","±2,772","8.3%","±0.6","53,084","±3,955","22.7%","±1.6","92,003","±4,641","18.6%","±0.9","11,164","±1,664","16.8%","±2.4","4,581","±1,089","11.7%","±2.8","8,611","±1,397","24.7%","±3.6"
"    $1,000 to $1,499","96,032","±4,559","37.6%","±1.6","630,605","±10,347","36.9%","±0.5","8,851","±1,643","26.8%","±4.6","161,335","±4,759","38.4%","±1.1","77,998","±3,470","33.3%","±1.3","181,228","±5,735","36.7%","±1.1","20,857","±2,007","31.3%","±2.7","11,114","±1,849","28.3%","±4.1","10,908","±1,372","31.2%","±3.7"
"    $1,500 or more","84,372","±4,619","33.0%","±1.6","473,089","±9,885","27.7%","±0.5","1,192","±493","3.6%","±1.5","197,140","±5,908","47.0%","±1.1","62,661","±4,655","26.8%","±1.6","170,867","±5,347","34.6%","±0.9","26,690","±2,344","40.1%","±3.1","19,052","±2,171","48.5%","±4.8","6,843","±1,211","19.6%","±3.3"
"    Median (dollars)","1,265","±22","(X)","(X)","1,175","±6","(X)","(X)","834","±38","(X)","(X)","1,465","±12","(X)","(X)","1,129","±21","(X)","(X)","1,253","±14","(X)","(X)","1,324","±51","(X)","(X)","1,474","±80","(X)","(X)","1,011","±48","(X)","(X)"
"    No rent paid","6,454","±1,046","(X)","(X)","40,944","±2,470","(X)","(X)","2,530","±707","(X)","(X)","9,760","±1,402","(X)","(X)","9,211","±1,403","(X)","(X)","12,784","±1,456","(X)","(X)","1,875","±518","(X)","(X)","1,081","±436","(X)","(X)","952","±488","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","250,958","±5,211","250,958","(X)","1,666,903","±13,059","1,666,903","(X)","32,089","±2,291","32,089","(X)","410,965","±6,017","410,965","(X)","230,717","±6,882","230,717","(X)","476,530","±7,370","476,530","(X)","65,500","±2,804","65,500","(X)","38,740","±2,511","38,740","(X)","34,440","±2,141","34,440","(X)"
"    Less than 15.0 percent","23,405","±2,254","9.3%","±0.9","139,474","±6,071","8.4%","±0.4","2,410","±913","7.5%","±2.8","34,350","±3,347","8.4%","±0.8","14,439","±1,955","6.3%","±0.8","39,051","±3,325","8.2%","±0.7","4,776","±1,066","7.3%","±1.6","3,225","±1,021","8.3%","±2.6","2,270","±855","6.6%","±2.4"
"    15.0 to 19.9 percent","27,861","±2,561","11.1%","±1.0","157,508","±5,791","9.4%","±0.3","4,837","±1,536","15.1%","±4.3","38,033","±2,741","9.3%","±0.6","22,164","±2,557","9.6%","±1.1","46,346","±3,841","9.7%","±0.8","5,960","±1,080","9.1%","±1.6","3,306","±943","8.5%","±2.4","3,353","±1,000","9.7%","±2.9"
"    20.0 to 24.9 percent","37,511","±3,499","14.9%","±1.3","190,829","±6,854","11.4%","±0.4","3,860","±985","12.0%","±3.1","53,326","±3,766","13.0%","±0.9","26,166","±3,138","11.3%","±1.3","56,872","±3,954","11.9%","±0.8","8,178","±1,653","12.5%","±2.5","6,080","±1,409","15.7%","±3.4","3,180","±936","9.2%","±2.8"
"    25.0 to 29.9 percent","29,733","±2,817","11.8%","±1.1","180,904","±6,133","10.9%","±0.4","3,033","±778","9.5%","±2.3","46,418","±3,878","11.3%","±0.9","28,242","±2,822","12.2%","±1.2","58,115","±4,061","12.2%","±0.8","7,762","±1,359","11.9%","±2.0","4,961","±981","12.8%","±2.5","4,485","±996","13.0%","±2.8"
"    30.0 to 34.9 percent","23,407","±2,517","9.3%","±1.0","152,370","±5,332","9.1%","±0.3","2,600","±880","8.1%","±2.8","42,776","±4,223","10.4%","±1.0","22,162","±2,685","9.6%","±1.1","47,130","±3,573","9.9%","±0.7","6,601","±1,316","10.1%","±1.9","3,734","±990","9.6%","±2.4","3,806","±1,091","11.1%","±3.1"
"    35.0 percent or more","109,041","±4,822","43.4%","±1.6","845,818","±11,143","50.7%","±0.5","15,349","±1,931","47.8%","±5.5","196,062","±6,411","47.7%","±1.5","117,544","±5,622","50.9%","±1.9","229,016","±6,741","48.1%","±1.3","32,223","±2,446","49.2%","±3.2","17,434","±2,043","45.0%","±4.5","17,346","±1,901","50.4%","±4.2"
"    Not computed","11,111","±1,332","(X)","(X)","83,635","±4,285","(X)","(X)","3,431","±856","(X)","(X)","18,447","±2,164","(X)","(X)","12,379","±1,762","(X)","(X)","29,593","±2,511","(X)","(X)","2,963","±639","(X)","(X)","1,613","±571","(X)","(X)","1,445","±483","(X)","(X)"
